date,open,high,low,close,volume
2020-01-02,74.06,75.15,73.798,75.088,135480400
2020-01-03,74.287,75.145,74.125,74.357,146322800
2020-01-06,73.448,74.99,73.188,74.95,118387200
2020-01-07,74.96,75.225,74.37,74.598,108872000
2020-01-08,74.29,76.11,74.29,75.798,132079200
2020-01-09,76.81,77.607,76.55,77.408,170108400
2020-01-10,77.65,78.168,77.062,77.582,140644800
2020-01-13,77.91,79.268,77.787,79.24,121532000
2020-01-14,79.175,79.393,78.043,78.17,161954400
2020-01-15,77.963,78.875,77.387,77.835,121923600
2020-01-16,78.397,78.925,78.022,78.81,108829200
2020-01-17,79.067,79.685,78.75,79.683,137816400
2020-01-21,79.298,79.755,79,79.143,110843200
2020-01-22,79.645,79.997,79.327,79.425,101832400
2020-01-23,79.48,79.89,78.912,79.808,104472000
2020-01-24,80.062,80.832,79.38,79.577,146537600
2020-01-27,77.515,77.942,76.22,77.238,161940000
2020-01-28,78.15,79.6,78.048,79.423,162234000
2020-01-29,81.113,81.963,80.345,81.085,216229200
2020-01-30,80.135,81.022,79.688,80.967,126743200
2020-01-31,80.232,80.67,77.073,77.378,199588400
2020-02-03,76.075,78.372,75.555,77.165,173788400
2020-02-04,78.827,79.91,78.408,79.713,136616400
2020-02-05,80.88,81.19,79.738,80.363,118826800
2020-02-06,80.643,81.305,80.065,81.302,105425600
2020-02-07,80.592,80.85,79.5,80.007,117684000
2020-02-10,78.545,80.387,78.463,80.387,109348800
2020-02-11,80.9,80.975,79.677,79.902,94323200
2020-02-12,80.368,81.805,80.368,81.8,113730400
2020-02-13,81.048,81.555,80.838,81.217,94747600
2020-02-14,81.185,81.495,80.713,81.238,80113600
2020-02-18,78.84,79.938,78.652,79.75,152531200
2020-02-19,80,81.143,80,80.905,93984000
2020-02-20,80.658,81.162,79.552,80.075,100566000
2020-02-21,79.655,80.113,77.625,78.262,129554000
2020-02-24,74.315,76.045,72.308,74.545,222195200
2020-02-25,75.238,75.632,71.533,72.02,230673600
2020-02-26,71.632,74.47,71.625,73.162,198054800
2020-02-27,70.275,71.5,68.24,68.38,320605600
2020-02-28,64.315,69.603,64.092,68.34,426510000
2020-03-02,70.57,75.36,69.43,74.702,341397200
2020-03-03,75.918,76,71.45,72.33,319475600
2020-03-04,74.11,75.85,73.283,75.685,219178400
2020-03-05,73.88,74.887,72.853,73.23,187572800
2020-03-06,70.5,72.705,70.308,72.257,226176800
2020-03-09,65.938,69.522,65.75,66.543,286744800
2020-03-10,69.285,71.61,67.342,71.335,285290000
2020-03-11,69.348,70.305,67.965,68.857,255598800
2020-03-12,63.985,67.5,62,62.057,418474000
2020-03-13,66.223,69.98,63.237,69.493,370732000
2020-03-16,60.487,64.77,60,60.553,322423600
2020-03-17,61.877,64.402,59.6,63.215,324056000
2020-03-18,59.943,62.5,59.28,61.667,300233600
2020-03-19,61.847,63.21,60.653,61.195,271857200
2020-03-20,61.795,62.958,57,57.31,401693200
2020-03-23,57.02,57.125,53.153,56.092,336752800
2020-03-24,59.09,61.923,58.575,61.72,287531200
2020-03-25,62.688,64.562,61.075,61.38,303602000
2020-03-26,61.63,64.67,61.59,64.61,252087200
2020-03-27,63.188,63.967,61.763,61.935,204216800
2020-03-30,62.685,63.88,62.35,63.702,167976400
2020-03-31,63.9,65.622,63,63.572,197002000
2020-04-01,61.625,62.18,59.783,60.228,176218400
2020-04-02,60.085,61.287,59.225,61.232,165934000
2020-04-03,60.7,61.425,59.743,60.353,129880000
2020-04-06,62.725,65.777,62.345,65.618,201820400
2020-04-07,67.7,67.925,64.75,64.857,202887200
2020-04-08,65.685,66.842,65.308,66.518,168895200
2020-04-09,67.175,67.518,66.175,66.997,161834800
2020-04-13,67.077,68.425,66.457,68.312,131022800
2020-04-14,70,72.062,69.512,71.762,194994800
2020-04-15,70.6,71.582,70.158,71.107,131154400
2020-04-16,71.845,72.05,70.588,71.673,157125200
2020-04-17,71.173,71.738,69.215,70.7,215250000
2020-04-20,69.488,70.42,69.213,69.232,130015200
2020-04-21,69.07,69.312,66.357,67.092,180991600
2020-04-22,68.402,69.475,68.05,69.025,116862400
2020-04-23,68.967,70.438,68.717,68.757,124814400
2020-04-24,69.3,70.753,69.25,70.743,126161200
2020-04-27,70.45,71.135,69.988,70.793,117087600
2020-04-28,71.27,71.457,69.55,69.645,112004800
2020-04-29,71.183,72.418,70.973,71.933,137280800
2020-04-30,72.49,73.632,72.088,73.45,183064000
2020-05-01,71.562,74.75,71.463,72.268,240616800
2020-05-04,72.293,73.423,71.58,73.29,133568000
2020-05-05,73.765,75.25,73.615,74.39,147751200
2020-05-06,75.115,75.81,74.717,75.158,142333600
2020-05-07,75.805,76.293,75.493,75.935,115215200
2020-05-08,76.41,77.588,76.073,77.533,133838400
2020-05-11,77.025,79.262,76.81,78.753,145946400
2020-05-12,79.457,79.923,77.728,77.853,162301200
2020-05-13,78.037,78.988,75.802,76.912,200622400
2020-05-14,76.128,77.448,75.382,77.385,158929200
2020-05-15,75.088,76.975,75.052,76.927,166348400
2020-05-18,78.293,79.125,77.58,78.74,135178400
2020-05-19,78.757,79.63,78.253,78.285,101729600
2020-05-20,79.17,79.88,79.13,79.808,111504800
2020-05-21,79.665,80.223,78.967,79.213,102688800
2020-05-22,78.942,79.808,78.838,79.723,81803200
2020-05-26,80.875,81.06,79.125,79.183,125522000
2020-05-27,79.035,79.677,78.272,79.527,112945200
2020-05-28,79.192,80.86,78.908,79.562,133560800
2020-05-29,79.812,80.287,79.118,79.485,153532400
2020-06-01,79.438,80.588,79.302,80.463,80791200
2020-06-02,80.188,80.86,79.732,80.835,87642800
2020-06-03,81.165,81.55,80.575,81.28,104491200
2020-06-04,81.098,81.405,80.195,80.58,87560400
2020-06-05,80.838,82.938,80.808,82.875,137250400
2020-06-08,82.562,83.4,81.83,83.365,95654400
2020-06-09,83.035,86.402,83.003,85.997,147712400
2020-06-10,86.975,88.692,86.522,88.21,166651600
2020-06-11,87.327,87.765,83.87,83.975,201662400
2020-06-12,86.18,86.95,83.555,84.7,200146000
2020-06-15,83.312,86.42,83.145,85.747,138808800
2020-06-16,87.865,88.3,86.18,88.02,165428800
2020-06-17,88.787,88.85,87.772,87.897,114406400
2020-06-18,87.853,88.363,87.305,87.933,96820400
2020-06-19,88.66,89.14,86.287,87.43,264476000
2020-06-22,87.835,89.865,87.787,89.717,135445200
2020-06-23,91,93.095,90.567,91.632,212155600
2020-06-24,91.25,92.198,89.63,90.015,192623200
2020-06-25,90.175,91.25,89.393,91.21,137522400
2020-06-26,91.103,91.33,88.255,88.408,205256800
2020-06-29,88.312,90.543,87.82,90.445,130646000
2020-06-30,90.02,91.495,90,91.2,140223200
2020-07-01,91.28,91.84,90.978,91.027,110737200
2020-07-02,91.963,92.618,90.91,91.027,114041600
2020-07-06,92.5,93.945,92.467,93.463,118655600
2020-07-07,93.853,94.655,93.058,93.173,112424400
2020-07-08,94.18,95.375,94.09,95.342,117092000
2020-07-09,96.262,96.317,94.673,95.753,125642800
2020-07-10,95.335,95.98,94.705,95.92,90257200
2020-07-13,97.265,99.955,95.257,95.478,191649200
2020-07-14,94.84,97.255,93.878,97.058,170989200
2020-07-15,98.99,99.247,96.49,97.725,153198000
2020-07-16,96.562,97.405,95.905,96.522,110577600
2020-07-17,96.988,97.147,95.84,96.327,92186800
2020-07-20,96.418,98.5,96.062,98.357,90318000
2020-07-21,99.173,99.25,96.743,97,103433200
2020-07-22,96.692,97.975,96.603,97.272,89001600
2020-07-23,96.997,97.077,92.01,92.845,197004400
2020-07-24,90.988,92.97,89.145,92.615,185438800
2020-07-27,93.71,94.905,93.48,94.81,121214000
2020-07-28,94.368,94.55,93.247,93.253,103625600
2020-07-29,93.75,95.23,93.713,95.04,90329200
2020-07-30,94.188,96.298,93.768,96.19,158130000
2020-07-31,102.885,106.415,100.825,106.26,374336800
2020-08-03,108.2,111.637,107.893,108.938,308151200
2020-08-04,109.132,110.79,108.387,109.665,173071600
2020-08-05,109.378,110.393,108.897,110.062,121776800
2020-08-06,110.405,114.412,109.798,113.902,202428800
2020-08-07,113.205,113.675,110.293,111.113,198045600
2020-08-10,112.6,113.775,110,112.728,212403600
2020-08-11,111.97,112.482,109.107,109.375,187902400
2020-08-12,110.497,113.275,110.298,113.01,165598000
2020-08-13,114.43,116.043,113.927,115.01,210082000
2020-08-14,114.83,115,113.045,114.908,165565200
2020-08-17,116.062,116.088,113.963,114.607,119561600
2020-08-18,114.353,116,114.007,115.562,105633600
