date,open,high,low,close,volume
2026-01-02,272.26,277.84,269,271.01,37838100
2026-01-05,270.64,271.51,266.14,267.26,45647200
2026-01-06,267,267.55,262.12,262.36,52352100
2026-01-07,263.2,263.68,259.81,260.33,48309800
2026-01-08,257.02,259.29,255.7,259.04,50419300
2026-01-09,259.08,260.21,256.22,259.37,39997000
2026-01-12,259.16,261.3,256.8,260.25,45263800
2026-01-13,258.72,261.81,258.39,261.05,45730800
2026-01-14,259.49,261.82,256.71,259.96,40019400
2026-01-15,260.65,261.04,257.05,258.21,39388600
2026-01-16,257.9,258.9,254.93,255.53,72142800
2026-01-20,252.73,254.79,243.42,246.7,80267500
2026-01-21,248.7,251.56,245.18,247.65,54641700
2026-01-22,249.2,251,248.15,248.35,39708300
2026-01-23,247.32,249.41,244.68,248.04,41689000
2026-01-26,251.48,256.56,249.8,255.41,55969200
2026-01-27,259.17,261.95,258.21,258.27,49648300
2026-01-28,257.65,258.86,254.51,256.44,41288000
2026-01-29,258,259.65,254.41,258.28,67253000
2026-01-30,255.17,261.9,252.18,259.48,92443400
2026-02-02,260.03,270.49,259.21,270.01,73913400
2026-02-03,269.2,271.88,267.61,269.48,64394700
2026-02-04,272.29,278.95,272.29,276.49,90545700
2026-02-05,278.13,279.5,273.23,275.91,52977400
2026-02-06,277.12,280.91,276.93,278.12,50453400
2026-02-09,277.91,278.2,271.7,274.62,44623400
2026-02-10,274.89,275.37,272.94,273.68,34376900
2026-02-11,274.7,280.18,274.45,275.5,51931300
2026-02-12,275.59,275.72,260.18,261.73,81077200
2026-02-13,262.01,262.23,255.45,255.78,56290700
2026-02-17,258.05,266.29,255.54,263.88,58469100
2026-02-18,263.6,266.82,262.45,264.35,34203300
2026-02-19,262.6,264.48,260.05,260.58,30845300
2026-02-20,258.97,264.75,258.16,264.58,42070500
2026-02-23,263.49,269.43,263.38,266.18,37308200
2026-02-24,267.86,274.89,267.71,272.14,47014600
2026-02-25,271.78,274.94,271.05,274.23,33714300
2026-02-26,274.95,276.11,270.8,272.95,32345100
2026-02-27,272.81,272.81,262.89,264.18,72366500
2026-03-02,262.41,266.53,260.2,264.72,41827900
2026-03-03,263.48,265.56,260.13,263.75,38568900
2026-03-04,264.65,266.15,261.42,262.52,39803100
2026-03-05,260.79,261.56,257.25,260.29,49658600
2026-03-06,258.63,258.77,254.37,257.46,41120000
2026-03-09,255.69,261.15,253.68,259.88,38218500
2026-03-10,257.65,262.48,256.95,260.83,30590800
2026-03-11,261.09,262.13,259.55,260.81,26218900
2026-03-12,258.66,258.95,254.18,255.76,40794000
2026-03-13,255.48,256.33,249.52,250.12,36930000
2026-03-16,252.11,253.89,249.88,252.82,32074200
2026-03-17,252.96,255.13,252.18,254.23,32361600
2026-03-18,252.63,254.94,249,249.94,35757900
2026-03-19,249.4,251.83,247.3,248.96,34864100
2026-03-20,247.98,249.2,246,247.99,88331100
2026-03-23,253.97,254.6,250.28,251.49,40546100
2026-03-24,250.35,254.83,249.55,251.64,45152300
2026-03-25,254.1,255,251.6,252.62,28476700
2026-03-26,252.12,257,250.77,252.89,41796700
2026-03-27,253.9,255.49,248.07,248.8,47900000
2026-03-30,250.07,250.87,245.51,246.63,39446200
2026-03-31,247.91,255.48,247.1,253.79,49598100
2026-04-01,254.08,256.18,253.33,255.63,40059400
2026-04-02,254.2,256.13,250.65,255.92,31289400
2026-04-06,256.51,262.16,256.46,258.86,29329900
2026-04-07,256.16,256.2,245.7,253.5,62148000
2026-04-08,258.45,259.75,256.53,258.9,41032800
2026-04-09,259,261.12,256.07,260.49,28121600
2026-04-10,259.98,262.19,259.02,260.48,31291500
2026-04-13,259.73,260.18,256.66,259.2,36234700
2026-04-14,259.25,261.93,257.19,258.83,48370700
2026-04-15,258.16,266.56,257.81,266.43,49913500
2026-04-16,266.8,267.16,261.27,263.4,43323100
2026-04-17,266.96,272.3,266.72,270.23,61436200
2026-04-20,270.33,274.28,270.29,273.05,36590200
2026-04-21,271.5,272.8,265.4,266.17,50209800
2026-04-22,267.82,273.74,266.87,273.17,43249200
2026-04-23,275.05,275.77,271.65,273.43,33399600
2026-04-24,272.76,273.06,269.65,271.06,38157100
2026-04-27,266.09,268.36,265.07,267.61,41466800
2026-04-28,272.34,273.23,268.66,270.71,40018900
2026-04-29,267.55,271.04,267.04,270.17,30047900
2026-04-30,270.5,276,268.14,271.35,91848200
2026-05-01,278.86,287.22,278.37,280.14,79915400
2026-05-04,279.66,280.63,274.86,276.83,46668400
2026-05-05,276.93,284.57,276.5,284.18,49311700
2026-05-06,281.92,288.03,281.07,287.51,58336100
2026-05-07,289.27,292.13,285.78,287.44,45224300
2026-05-08,290.01,294.76,290,293.32,52692800
2026-05-11,291.98,293.88,290.23,292.68,42247300
2026-05-12,292.56,295.27,292.56,294.8,45748100
2026-05-13,293.5,300.92,293.5,298.87,52684300
2026-05-14,299.82,300.45,295.38,298.21,35324900
2026-05-15,297.9,303.2,296.52,300.23,54862800
2026-05-18,300.24,300.66,294.91,297.84,34483000
2026-05-19,296.97,300.51,296.35,298.97,42243600
2026-05-20,298.18,302.8,298.09,302.25,37276629
