date,open,high,low,close,volume
2000-01-03,16.812,16.875,16.062,16.391,7384400
2000-01-04,15.75,16.453,14.984,15.016,7813200
2000-01-05,14.562,15.688,14.562,15.312,14927200
2000-01-06,15.359,15.656,15.156,15.438,10221200
2000-01-07,15.391,16.188,15.219,16.188,8253200
2000-01-10,16.344,16.812,15.906,16.812,10987200
2000-01-11,16.797,16.812,15.594,15.656,9616000
2000-01-12,15.688,15.844,15.438,15.578,8051200
2000-01-13,15.703,16.5,15.688,16.406,5527200
2000-01-14,16.656,16.844,16.406,16.578,5136800
2000-01-18,16.266,16.469,16,16,5201600
2000-01-19,15.93,16.094,15.625,15.781,4559200
2000-01-20,15.906,16.156,15.375,15.953,4248800
2000-01-21,16.125,16.219,15.5,15.719,6900000
2000-01-24,15.773,15.875,15.031,15.141,5895600
2000-01-25,15.039,15.844,14.719,15.75,7566000
2000-01-26,15.781,16.062,15.234,15.297,4466000
2000-01-27,15.203,16,15.203,15.672,5864400
2000-01-28,15.297,15.469,14.156,14.391,5712000
2000-01-31,14.281,14.531,13.359,13.766,16459200
2000-02-01,13.969,14.219,13.781,13.969,6765600
2000-02-02,13.984,15.406,13.906,15.328,13409600
2000-02-03,15.953,17.281,15.844,17.266,19747200
2000-02-04,17.18,18.625,16.75,18.5,13516800
2000-02-07,18.438,19.359,18.062,19.266,12919200
2000-02-08,19.391,21,19.188,20.938,14297200
2000-02-09,20.969,21.938,20.719,21.891,15321600
2000-02-10,21.641,22.812,21.062,22.812,13175600
2000-02-11,22.5,22.812,21.719,22.609,7216800
2000-02-14,22.031,22.5,21.266,22.406,6994800
2000-02-15,22.102,23,21.562,22.219,7082400
2000-02-16,22,24.688,21.875,24.547,10723600
2000-02-17,24.75,25.531,24.031,25.391,10482400
2000-02-18,25.656,25.672,24.25,24.562,6311200
2000-02-22,24.453,24.906,22.609,24.57,7825600
2000-02-23,24.375,26.25,23.859,24.906,7614800
2000-02-24,25.281,26.656,24.25,26.594,6901200
2000-02-25,25.875,26.109,24.5,24.625,4176000
2000-02-28,24.383,24.906,23.75,24.453,6549600
2000-02-29,25,25.75,24.781,25.5,6718800
2000-03-01,25.555,25.562,24.688,25.094,5105200
2000-03-02,24.062,24.062,20,20.156,24963600
2000-03-03,21.047,22.934,20.633,22.656,18611200
2000-03-06,22.312,22.406,21,21.453,6946400
2000-03-07,21.953,21.969,20.141,20.297,6066400
2000-03-08,20.391,20.406,19.625,19.766,8405600
2000-03-09,19.906,20.344,19.25,19.531,10022000
2000-03-10,19.875,21.422,19.859,20.812,15000800
2000-03-13,20.188,21.156,20.125,20.531,6446400
2000-03-14,21.875,22.219,20,20.359,12852800
2000-03-15,20.75,21.609,20,20.891,9849600
2000-03-16,21.141,23.688,19.5,23.609,22378000
2000-03-17,22.25,22.844,21.484,21.922,18887600
2000-03-20,22.047,22.484,21.406,21.859,8595200
2000-03-21,21.891,23.016,21.281,22.922,10534000
2000-03-22,23.695,25.5,22.984,25.5,16744800
2000-03-23,25.141,27.391,24.75,26.641,12223600
2000-03-24,26.406,27.5,26.344,27.047,7835600
2000-03-27,27.219,28.672,27,28.406,6834400
2000-03-28,28.188,28.844,27.5,27.781,6964400
2000-03-29,27.75,28.406,26.969,27.844,5551200
2000-03-30,27.375,29,26.75,26.797,6503200
2000-03-31,27.062,28.75,26.672,27.828,7458000
2000-04-03,28.273,28.625,25.75,26.391,10012400
2000-04-04,27.109,27.25,22.062,25.438,20696400
2000-04-05,25.25,27.625,24.5,26.797,9953200
2000-04-06,27.344,28.656,27.031,28.656,10676000
2000-04-07,28.984,31.25,28.906,31.25,11309200
2000-04-10,30.711,31.125,29,29.297,6682800
2000-04-11,28.688,30.5,27.844,29.875,9586000
2000-04-12,30,30.25,27.5,28.016,10696800
2000-04-13,28.332,29.5,27,28.391,11635200
2000-04-14,27.719,27.734,23.797,24.453,14822800
2000-04-17,24.531,28.328,24.422,28.328,10586800
2000-04-18,28.891,30.406,28.328,29.25,8886000
2000-04-19,28.938,29.312,27.906,28.156,5971600
2000-04-20,28.203,28.621,26.625,28.156,6578800
2000-04-24,26.922,28,24.25,26.188,9034800
2000-04-25,26.703,30.375,26,30,14261600
2000-04-26,29.641,30.188,28.078,28.719,10008800
2000-04-27,27.016,31.125,26.75,30.859,11139200
2000-04-28,31.203,31.969,29.5,30.234,11328800
2000-05-01,30.547,32.75,30.531,32.672,8049200
2000-05-02,32.156,32.188,28.812,28.875,6946800
2000-05-03,28.938,29.906,26,28.188,12529600
2000-05-04,28.375,28.688,27.062,28.484,6709600
2000-05-05,27.938,30.203,27.844,29.922,6605600
2000-05-08,29.062,29.438,27.25,27.344,5495200
2000-05-09,27.875,29.406,26.344,28.078,9874800
2000-05-10,27.312,28.406,26.438,26.547,10190400
2000-05-11,27.328,27.562,25.406,27.094,10963200
2000-05-12,27.234,28.344,26.625,27.047,4381600
2000-05-15,27.344,27.656,26.562,27.5,5064800
2000-05-16,28.117,31.219,28.109,30.969,11287200
2000-05-17,29.781,30.719,29.125,30.078,6428400
2000-05-18,30.016,31.062,28.75,28.75,5727200
2000-05-19,28.5,29.312,27.344,27.391,8564000
2000-05-22,27.531,27.531,25.75,27.422,11500400
2000-05-23,27.359,28.75,26.812,27.234,10874800
2000-05-24,26.875,27.344,25.562,26.531,13330400
2000-05-25,26.953,28.125,25.875,26.125,5880400
