date,open,high,low,close,volume
2026-01-02,350.68,351.12,331.64,333.3,5643500
2026-01-05,330.11,334.47,327.44,331.56,5012100
2026-01-06,330,336.4,329.5,335.99,3187400
2026-01-07,336.24,342.78,334.62,338.1,3183100
2026-01-08,337.38,343.95,334.68,339.04,3107700
2026-01-09,335.88,335.88,328,333.95,3250100
2026-01-12,327.77,330.67,323.5,327.65,3541400
2026-01-13,322.49,323,307.91,309.93,7217300
2026-01-14,308.57,309.73,302.47,304.44,5712600
2026-01-15,304.97,305.82,301.4,304.09,4774300
2026-01-16,304.56,304.88,295.42,296.12,8534400
2026-01-20,294.32,295,288.33,290.37,6962000
2026-01-21,290.77,294.51,288.33,294.23,5645300
2026-01-22,296,301.82,295.2,299.73,4974500
2026-01-23,301.46,303.84,299.2,301.07,4368700
2026-01-26,301.4,306.3,301.4,304.72,4115300
2026-01-27,303.81,304.22,292.93,297.42,4166300
2026-01-28,299.66,303.85,297.69,299.58,3942800
2026-01-29,291.68,293.64,284.6,291.65,7410800
2026-01-30,291.6,295.34,290.51,293.25,5713000
2026-02-02,297.01,299.38,290.93,293.38,4357000
2026-02-03,282.74,284.34,271.02,271.93,8324900
2026-02-04,267.23,282.9,264.04,279.71,8554200
2026-02-05,277.49,281.95,268.43,269.39,6293600
2026-02-06,271.68,275,265.31,268.38,5448400
2026-02-09,267.05,269.2,262.95,266.9,6576300
2026-02-10,266.69,270.79,263.98,264.67,5718600
2026-02-11,263.08,264.2,255.71,257.16,8759900
2026-02-12,258.36,262.67,251.1,262.5,8657000
2026-02-13,262.17,265.29,257.5,263.97,6589700
2026-02-17,265.24,269.13,255.84,260.45,5208300
2026-02-18,260.45,263.5,257.14,263.17,5033200
2026-02-19,263.38,265.55,257.41,259.21,3616200
2026-02-20,255,262.08,254.36,258.61,6590800
2026-02-23,254.14,254.5,244.8,246.68,7602400
2026-02-24,245.57,258.25,244.28,255.17,5529100
2026-02-25,253.33,257.99,250.7,257.81,5108600
2026-02-26,261.59,263.67,256.6,259.04,6208100
2026-02-27,254.02,262.75,253.06,262.41,5098200
2026-03-02,257.6,264.22,257.06,260.88,3486900
2026-03-03,260.05,272.83,260.05,270.99,6206600
2026-03-04,271.51,276.67,270.34,273.12,4329200
2026-03-05,275.4,285.36,275.4,281.74,5822300
2026-03-06,280.28,283.85,276.05,283.62,4802300
2026-03-09,281.32,285.2,277.9,282.44,4728400
2026-03-10,281.82,282.4,268.37,275.13,4591600
2026-03-11,277.93,280.38,269.25,273.71,4862400
2026-03-12,273.35,276.28,269.2,269.78,10895000
2026-03-13,249,256.7,247.16,249.32,17406400
2026-03-16,248.25,256.37,244.55,251.86,11679200
2026-03-17,252.99,258.91,252.14,254.2,6456200
2026-03-18,252.46,254.49,245.18,246,7305600
2026-03-19,246.96,250.4,244.27,245.99,4459800
2026-03-20,242.8,249.09,241,248.15,10467300
2026-03-23,248.95,251.02,246.22,247.64,4080500
2026-03-24,245.91,246.2,237.38,238.87,6268300
2026-03-25,241.2,243.58,233.79,237.25,5441600
2026-03-26,234.92,243.95,234.28,240.88,4715300
2026-03-27,239.79,239.79,233.16,234.84,4429400
2026-03-30,236.78,243.28,236.73,241.13,4410200
2026-03-31,241.67,244.03,239.51,243.08,4575900
2026-04-01,241.96,243.48,235,241.37,3746700
2026-04-02,242.46,245.01,237.72,242.92,3588800
2026-04-06,242.84,246.7,240.23,244.36,2757700
2026-04-07,244.17,244.77,238.72,240.14,3331000
2026-04-08,244.3,247.44,237.99,239.31,4040100
2026-04-09,235.6,236.3,227.7,229.94,6802400
2026-04-10,229.9,231.04,224.13,225.35,5889200
2026-04-13,227.14,240.19,226.5,240.11,6115800
2026-04-14,241.99,244.01,233,235.72,6307500
2026-04-15,241.17,245.93,239.2,244.66,4749600
2026-04-16,253.05,254.51,245.78,248.16,5229500
2026-04-17,254.08,254.08,243.5,244.45,6194200
2026-04-20,249.49,251.63,245.34,248.63,5250000
2026-04-21,247,254.75,245.1,247.18,5779700
2026-04-22,254.8,258.75,251.9,255.94,7111000
2026-04-23,244.88,246.54,233.52,238.98,9617000
2026-04-24,239.77,245.66,238.42,245.44,6492900
2026-04-27,240.77,245.88,239.11,239.31,5067700
2026-04-28,242.13,245.26,241.16,243.2,4641700
2026-04-29,240.97,243.62,238.67,243.57,2664500
2026-04-30,240.1,246.68,236.28,246.1,5129100
2026-05-01,252,253.56,244.1,250.71,5068500
2026-05-04,249.99,255.88,247.34,253.96,5536900
2026-05-05,254,256.62,248.49,255.62,3952500
2026-05-06,252.02,254.4,248.28,250.17,4452100
2026-05-07,254.77,259.44,252.88,256.51,4479900
2026-05-08,252.9,253.37,246.1,253.04,3667500
2026-05-11,250.53,255.41,244.69,246.15,3225800
2026-05-12,247,247.58,240.4,240.83,3234000
2026-05-13,238.54,239.08,232.84,236.07,3870200
2026-05-14,236.24,238.24,231.74,237.01,4991700
2026-05-15,241.76,248.57,240.26,247.6,6421200
2026-05-18,247.31,256.19,245.24,255.64,5591800
2026-05-19,263.33,265.09,251.81,254.99,5829381
