date,open,high,low,close,volume
2007-01-03,9.142,9.23,8.91,9.017,4277200
2007-01-04,9.002,9.47,8.887,9.47,6430400
2007-01-05,9.375,9.993,9.275,9.88,11618800
2007-01-08,9.9,9.998,9.778,9.983,4814400
2007-01-09,9.998,10.108,9.858,9.99,4996000
2007-01-10,9.95,10.062,9.895,10.057,3575600
2007-01-11,10.045,10.663,10,10.435,10939200
2007-01-12,10.525,10.76,10.425,10.605,6449200
2007-01-16,10.672,11.08,10.575,10.825,9854800
2007-01-17,10.762,10.863,10.613,10.663,5239200
2007-01-18,10.637,10.64,10.205,10.363,6803200
2007-01-19,10.363,10.41,10.217,10.403,5058800
2007-01-22,10.425,10.47,10.208,10.3,6394800
2007-01-23,10.292,10.35,10.25,10.32,6068800
2007-01-24,10.345,10.695,10.345,10.605,9301600
2007-01-25,10.608,10.608,10.38,10.47,6468400
2007-01-26,10.512,10.685,10.495,10.557,4736400
2007-01-29,10.557,10.788,10.47,10.623,5254000
2007-01-30,10.712,10.873,10.7,10.738,5333600
2007-01-31,10.755,11.012,10.613,10.958,5612000
2007-02-01,11.05,11.395,11.05,11.352,10430400
2007-02-02,11.4,11.74,11.352,11.688,8889600
2007-02-05,11.688,11.835,11.505,11.783,5616800
2007-02-06,11.795,11.908,11.66,11.775,10726400
2007-02-07,11.8,12.038,11.765,11.922,10997600
2007-02-08,11.922,11.998,11.688,11.925,7385600
2007-02-09,11.863,11.993,11.7,11.752,6388800
2007-02-12,11.698,11.908,11.635,11.847,5591200
2007-02-13,11.875,12.233,11.875,12.123,7625200
2007-02-14,12.225,12.533,12.195,12.47,10212000
2007-02-15,12.5,12.51,12.33,12.403,8974000
2007-02-16,12.403,12.485,12.35,12.408,6041600
2007-02-20,12.5,12.608,12.35,12.358,10063600
2007-02-21,12.373,12.375,11.955,12,13291600
2007-02-22,11.425,12.125,11.315,11.785,20852400
2007-02-23,11.788,11.882,11.722,11.86,5260400
2007-02-26,11.75,11.873,11.65,11.725,9469600
2007-02-27,11.465,11.597,11.03,11.25,7687200
2007-02-28,11.252,11.252,10.762,10.81,13272400
2007-03-01,10.512,11.132,10.512,11.09,13634000
2007-03-02,10.988,11.15,10.602,10.66,7662400
