date,open,high,low,close,volume
2026-01-02,265,265.38,252.48,253.62,9680600
2026-01-05,253.62,259.59,252.31,256.26,6421500
2026-01-06,255.2,263.55,255,262.9,6103300
2026-01-07,263.5,267.83,263.5,266.12,5976200
2026-01-08,264.4,265.2,260.41,260.53,5243500
2026-01-09,260,261.03,256.51,259.94,5174400
2026-01-12,259,261.56,255.77,259.4,4927700
2026-01-13,257.66,260.91,240.36,241.06,13661000
2026-01-14,239.18,242.24,236.46,239.57,10149300
2026-01-15,237.02,238.84,231.67,233.53,11489600
2026-01-16,232.95,232.95,226.44,227.11,13902600
2026-01-20,223.54,227.94,219.36,220.07,13050800
2026-01-21,220.15,223.39,218.96,221.58,12616600
2026-01-22,222.24,228.72,221.11,228.09,9483000
2026-01-23,226.78,230.85,226.65,228.05,9408000
2026-01-26,229.43,230.95,227.59,229.4,7239600
2026-01-27,231.94,235.74,226.27,228.53,9838400
2026-01-28,229.39,231.86,227.67,227.96,8465900
2026-01-29,216.67,217.28,208.78,214.08,18555600
2026-01-30,214.16,215.55,211.03,212.29,11090400
2026-02-02,214.35,216.89,209.8,210.81,7950900
2026-02-03,205,205.56,193.11,196.38,20194200
2026-02-04,193.31,200.67,187.28,199.44,23010000
2026-02-05,193.99,199.56,188.79,189.97,21956300
2026-02-06,191.63,194.6,187.12,191.35,13652600
2026-02-09,189.3,195.2,185.73,194.03,12112000
2026-02-10,191.9,199.1,190.75,193.45,13393000
2026-02-11,193.15,193.67,181.81,185,16350200
2026-02-12,185.96,188.32,180.24,185.43,16849100
2026-02-13,186.44,193.45,184.3,189.72,14822900
2026-02-17,190.97,193,183.17,184.29,13692900
2026-02-18,183.88,188.14,181.86,187.79,9852900
2026-02-19,186.6,186.95,183.23,185.29,9565100
2026-02-20,185.32,191.73,183.73,185.16,10816200
2026-02-23,181.27,182.47,174.57,178.16,15498600
2026-02-24,177.64,188.67,176.28,185.42,15564700
2026-02-25,183,192.6,182.26,191.75,21875100
2026-02-26,196.76,201.04,191.33,199.47,26680500
2026-02-27,191.91,195.92,189.92,194.79,16346500
2026-03-02,192.5,195.94,190.68,192.95,9932700
2026-03-03,190.75,198.67,189.58,196.05,13208900
2026-03-04,195.1,196.47,192.1,193.08,11583700
2026-03-05,194.36,204.42,194.24,201.39,15860900
2026-03-06,200.79,202.96,197.37,202.11,9657400
2026-03-09,198.56,203.67,195.87,198.79,10754800
2026-03-10,197.26,199.57,190.6,194.91,14467400
2026-03-11,196.4,199.55,191.29,194.13,9580000
2026-03-12,194.13,204.86,193.15,199.28,26309700
2026-03-13,199.73,201,191.75,192.83,14834700
2026-03-16,195.15,198.63,195.15,198.34,13419600
2026-03-17,198.22,202.38,194.45,195.31,11559300
2026-03-18,193.4,196.15,192.64,194.34,10525100
2026-03-19,195.59,200.4,193.3,194.99,9254300
2026-03-20,193.21,195.67,190,195.38,20201100
2026-03-23,197.09,198.05,192,195.18,13976200
2026-03-24,192.14,192.14,182.29,183.02,18631400
2026-03-25,185.7,187.39,179.85,181.96,12565200
2026-03-26,181.18,187.47,179.53,185.64,10330700
2026-03-27,184,184.11,178.82,179.31,9902000
2026-03-30,180.1,186.39,179.58,185.03,11617700
2026-03-31,184.9,188.5,182.31,186.67,11041400
2026-04-01,186.85,188.98,183.01,186.24,11677700
2026-04-02,185.3,187.58,181.58,187.18,11635500
2026-04-06,187.5,188.14,183.6,185.03,14391000
2026-04-07,184.95,186.58,182.02,182.96,12344600
2026-04-08,186.5,186.77,175.78,176.37,13472100
2026-04-09,173.17,174.29,167.12,170.85,20855400
2026-04-10,171.26,171.26,163.52,164.96,18109300
2026-04-13,167.05,173.4,165.77,172.82,12390800
2026-04-14,175.21,177.5,170.5,171.31,13123600
2026-04-15,174.22,179.62,172.88,177.6,14340300
2026-04-16,184,184.55,178.57,181.22,11866700
2026-04-17,185.43,187.98,181.03,182.14,17225700
2026-04-20,182.5,189,182.12,186.27,14382300
2026-04-21,186.6,193.56,184.1,187.11,12073700
2026-04-22,188.2,191.15,187.03,189.8,14565900
2026-04-23,177.56,178.87,170.65,173.3,22719900
2026-04-24,175.62,178.45,174.4,178.16,10817600
2026-04-27,178.26,184.29,177.51,180.18,11907000
2026-04-28,182.43,184.42,181.32,181.32,8711700
2026-04-29,179.2,181.78,177.35,181.22,6882800
2026-04-30,178.3,178.69,173,176.53,14408300
2026-05-01,182.19,186.04,178.75,183.82,12324400
2026-05-04,184.24,190.31,183.97,185.48,8444700
2026-05-05,185.55,187.39,181.1,186.99,9740800
2026-05-06,185.52,187.1,179.58,181.19,11303400
2026-05-07,184.6,188.58,184,186.34,13955100
2026-05-08,179.68,181.87,176.88,181.82,15123900
2026-05-11,179.91,182.5,176.31,177.49,11145000
2026-05-12,177.58,177.58,170.58,171.31,10214000
2026-05-13,169.78,169.78,164.75,165.84,11951900
2026-05-14,166,169.35,164.33,167.58,9749400
2026-05-15,169.25,175.97,169,173.51,13883400
2026-05-18,172.89,180.78,171.8,179.48,13671200
2026-05-19,185,187.44,178.81,179.42,14793703
