date,open,high,low,close,volume
2013-01-02,17.918,18.107,17.847,18.014,102033017
2013-01-03,18.056,18.23,17.951,18.024,93075567
2013-01-04,18.165,18.468,18.124,18.38,110954331
2013-01-07,18.318,18.415,18.196,18.3,66476239
2013-01-08,18.32,18.339,18.043,18.264,67295297
2013-01-09,18.238,18.39,18.147,18.384,81291563
2013-01-10,18.501,18.555,18.269,18.468,73703226
2013-01-11,18.481,18.491,18.339,18.431,51600690
2013-01-14,18.356,18.486,17.991,18.014,114985384
2013-01-15,17.916,18.306,17.736,18.056,157696879
2013-01-16,17.993,18.041,17.775,17.813,81239368
2013-01-17,17.876,17.924,17.709,17.717,88791570
2013-01-18,17.693,17.753,17.468,17.547,129555794
2013-01-22,17.551,17.568,17.323,17.506,152264594
2013-01-23,18.331,18.655,18.326,18.468,237249950
2013-01-24,18.462,18.85,18.444,18.785,135815168
2013-01-25,18.699,18.891,18.686,18.771,89369729
2013-01-28,18.724,18.819,18.627,18.698,65327951
2013-01-29,18.599,18.853,18.594,18.772,70145942
2013-01-30,18.773,18.953,18.752,18.775,69579828
2013-01-31,18.693,18.87,18.686,18.822,65613015
2013-02-01,18.884,19.343,18.882,19.318,150405652
2013-02-04,19.121,19.19,18.886,18.905,122075862
2013-02-05,18.957,19.206,18.916,19.072,75108474
2013-02-06,18.906,19.252,18.892,19.182,83435569
2013-02-07,19.171,19.398,19.066,19.276,114033831
2013-02-08,19.43,19.593,19.416,19.561,121256803
2013-02-11,19.387,19.502,19.272,19.487,87037018
2013-02-12,19.471,19.624,19.411,19.445,74638720
2013-02-13,19.43,19.56,19.426,19.498,48107646
2013-02-14,19.42,19.645,19.372,19.622,69672173
2013-02-15,19.611,19.757,19.603,19.748,109601278
2013-02-19,19.825,20.1,19.808,20.096,117711564
2013-02-20,20.057,20.149,19.721,19.738,110982436
2013-02-21,19.876,20.061,19.707,19.814,140781714
2013-02-22,19.907,19.956,19.771,19.918,82463941
2013-02-25,19.983,20.135,19.688,19.695,92501423
2013-02-26,19.801,19.824,19.537,19.679,88430220
2013-02-27,19.796,20.044,19.704,19.92,81347773
2013-02-28,19.953,20.099,19.951,19.955,90971711
2013-03-01,19.871,20.103,19.829,20.079,87342157
2013-03-04,20.057,20.494,20.05,20.461,111440145
2013-03-05,20.646,20.925,20.645,20.887,162370331
2013-03-06,20.947,21.021,20.643,20.707,115350748
2013-03-07,20.774,20.837,20.662,20.737,82415761
2013-03-08,20.785,20.795,20.549,20.71,116912581
2013-03-11,20.715,20.914,20.71,20.793,64027093
2013-03-12,20.69,20.72,20.515,20.613,80633104
