date,open,high,low,close,volume
1996-01-02,13,13,12.375,12.5,2737800
1996-01-03,12.333,12.667,11.917,11.917,5643600
1996-01-04,11.875,11.958,10.958,11.333,6150600
1996-01-05,11.042,11.25,10.792,11.208,5424600
1996-01-08,11.208,11.25,11,11,309600
1996-01-09,11.042,11.083,9.667,9.917,9277200
1996-01-10,9.875,10.542,9.417,9.604,11682600
1996-01-11,10.042,10.375,9.875,10.333,5341200
1996-01-12,10.333,11.312,9.708,10.917,8414400
1996-01-15,10.833,10.833,9.75,10.042,9026400
1996-01-16,10.292,10.458,9.583,10.229,8943600
1996-01-17,9.75,9.792,8.542,8.875,20847600
1996-01-18,8.958,9.292,8.292,9.042,11002800
1996-01-19,9.333,9.333,8.583,9.083,7369200
1996-01-22,9.208,9.583,9.042,9.5,5846400
1996-01-23,9.625,10.042,9.375,9.75,4779600
1996-01-24,9.875,10,9.375,9.625,2705400
1996-01-25,9.625,9.833,9.5,9.625,4561800
1996-01-26,9.583,9.833,9.458,9.708,1944600
1996-01-29,9.833,9.875,9.375,9.375,3505200
1996-01-30,9.667,10.75,9.625,10.417,8611800
1996-01-31,10.292,10.792,10,10.271,6394800
1996-02-01,10.208,10.25,9.958,10.167,2854800
1996-02-02,10.208,11.042,10.208,10.958,8293200
1996-02-05,10.958,11.375,10.667,11.125,4390200
1996-02-06,11.083,11.375,10.875,11.146,4375200
1996-02-07,10.75,11.125,10.708,10.833,3553200
1996-02-08,10.708,10.917,10.292,10.583,4638600
1996-02-09,10.5,10.5,9.792,9.792,7356600
1996-02-12,9.917,10.042,9.583,9.625,4253400
1996-02-13,9.417,9.667,9.167,9.417,3254400
1996-02-14,9.458,9.542,8.958,9.333,5530800
1996-02-15,9.25,9.25,8.875,9.208,5994600
1996-02-16,9.167,9.5,9.083,9.417,5004600
1996-02-20,9.333,10.25,9.292,10.167,7429800
1996-02-21,10.167,10.667,10.083,10.583,8304600
1996-02-22,10.667,11.542,10.625,11.271,9445200
1996-02-23,11.375,11.583,10.542,11.042,7943400
1996-02-26,10.917,11.167,10.5,10.583,4721400
1996-02-27,10.625,10.958,10.417,10.875,4101000
1996-02-28,10.833,11.292,10.625,10.792,4243200
1996-02-29,10.542,11.583,10.5,11.125,8445000
1996-03-01,9.125,9.375,8.167,8.417,42421800
1996-03-04,8.5,8.542,7.458,7.479,13818000
1996-03-05,7.458,7.542,7,7.167,19058400
1996-03-06,7.333,7.708,7.167,7.458,10660800
1996-03-07,7.5,7.583,7.208,7.292,3793800
1996-03-08,7,7.625,6.833,7.542,9789600
1996-03-11,7.542,8.292,7.5,8.188,10547400
1996-03-12,8.042,8.625,7.919,8.458,11488200
1996-03-13,8.625,8.958,8.375,8.875,7929000
1996-03-14,9,9.083,8.458,8.542,6813600
1996-03-15,8.625,8.875,8.5,8.625,3849000
1996-03-18,8.5,8.583,7.75,8.083,10585800
1996-03-19,8.042,8.292,8,8.167,4312800
1996-03-20,8.125,8.167,7.625,7.875,6012000
1996-03-21,7.917,8.125,7.75,7.833,4215600
1996-03-22,8.125,8.25,7.958,8.083,6738600
1996-03-25,8.167,8.208,7.75,7.792,2884200
1996-03-26,7.667,8,7.458,7.917,5179800
1996-03-27,7.875,7.958,7.625,7.792,2175000
1996-03-28,7.792,7.792,7.5,7.583,2711400
1996-03-29,7.583,7.75,7.458,7.5,3452400
1996-04-01,7.583,7.75,7.542,7.708,2368800
1996-04-02,7.792,8.125,7.708,8,5349000
1996-04-03,8,8.125,7.792,7.958,2073600
1996-04-04,8,8,7.708,7.833,1737000
1996-04-08,7.5,8,7.333,7.979,4465800
1996-04-09,8.042,8.083,7.5,7.542,2744400
1996-04-10,7.458,7.958,7.375,7.542,4436400
1996-04-11,7.583,7.833,7.375,7.708,4850400
1996-04-12,7.833,7.833,7.458,7.667,3754800
1996-04-15,7.667,7.875,7.333,7.831,8303400
1996-04-16,7.958,7.958,7.708,7.833,3634800
1996-04-17,7.875,7.917,7.625,7.625,2547600
1996-04-18,7.667,7.917,7.667,7.917,2585400
1996-04-19,7.917,7.958,7.833,7.875,2326800
1996-04-22,7.958,8.25,7.917,8.188,8215200
1996-04-23,8.208,8.208,8,8.042,3156000
1996-04-24,8.083,8.125,7.958,8.042,2531400
1996-04-25,8.042,8.042,7.792,8.042,4811400
1996-04-26,8.083,8.75,7.917,8.667,9155400
1996-04-29,8.625,8.708,8.25,8.583,4870200
1996-04-30,8.583,8.75,8.5,8.667,3370200
1996-05-01,8.667,9.125,8.583,9.083,6546600
1996-05-02,9.125,9.125,8.5,8.5,4336800
1996-05-03,8.625,9.125,8.542,9.042,4942200
1996-05-06,9.042,9.125,8.75,8.958,3018000
1996-05-07,8.958,9.292,8.667,9.25,5337600
1996-05-08,9.167,9.208,8.708,8.938,4822800
1996-05-09,8.917,9.125,8.542,8.583,5322000
1996-05-10,8.75,8.792,8.542,8.667,4489200
1996-05-13,8.708,9.125,8.625,9.042,4871400
1996-05-14,9.042,9.25,8.917,9.167,4339800
1996-05-15,9.083,9.25,9,9.083,4143000
1996-05-16,9.083,9.208,9,9.167,4211400
1996-05-17,9.167,9.208,9.125,9.125,3293400
1996-05-20,9.083,9.146,8.875,8.917,2788800
1996-05-21,8.875,8.958,8.792,8.917,2128200
1996-05-22,8.958,9,8.833,8.833,1452000
1996-05-23,8.833,8.917,8.75,8.833,2329200
1996-05-24,8.833,8.833,8.5,8.542,2264400
1996-05-28,8.625,8.625,8.25,8.292,3634200
1996-05-29,8.333,8.375,8.042,8.042,5163600
1996-05-30,8.167,8.375,8.083,8.271,4206000
1996-05-31,8.458,8.833,8.417,8.667,4117800
1996-06-03,8.75,8.75,8.5,8.542,2554200
1996-06-04,8.625,8.625,8.458,8.542,1669800
1996-06-05,8.583,8.708,8.458,8.667,3378000
1996-06-06,8.708,8.833,8.333,8.333,2916000
1996-06-07,8.042,8.583,8,8.542,3484800
1996-06-10,8.5,8.75,8.5,8.667,2341800
1996-06-11,8.625,9,8.625,8.875,3388800
1996-06-12,9,9.125,8.792,8.917,5629200
1996-06-13,8.833,8.958,8.583,8.792,5449800
1996-06-14,8.875,9,8.75,8.896,2472000
1996-06-17,9,9,8.833,8.906,1732800
1996-06-18,8.833,8.958,8.75,8.75,2083200
1996-06-19,8.792,8.792,8.25,8.26,4716600
1996-06-20,8.25,8.417,8,8.208,4078200
1996-06-21,8.208,8.333,8.104,8.167,1791600
1996-06-24,8.25,8.25,8.083,8.167,2796600
1996-06-25,8.167,8.25,8.042,8.042,676800
1996-06-26,8.042,8.083,7.458,7.562,4468200
1996-06-27,7.542,7.625,7.25,7.542,4362000
1996-06-28,7.583,8,7.542,7.875,4644600
1996-07-01,7.875,8.208,7.75,8.167,2353800
1996-07-02,8.083,8.167,8,8.125,2012400
1996-07-03,8.083,8.167,7.917,7.917,1967400
1996-07-05,7.75,7.833,7.625,7.625,959400
1996-07-08,7.625,7.708,7.417,7.417,2598600
1996-07-09,7.542,7.542,7.125,7.208,2735400
1996-07-10,7.208,7.208,6.875,7.167,3690600
1996-07-11,7.125,7.208,6.583,6.792,5536800
1996-07-12,6.833,6.917,6.208,6.333,5467800
1996-07-15,6.292,6.333,5.5,5.708,8242200
1996-07-16,5.667,5.875,5.292,5.729,6103200
1996-07-17,5.958,6.25,5.833,6.042,7177800
1996-07-18,6.083,6.417,5.917,6.312,5398800
1996-07-19,6.292,6.292,5.958,6,3108600
1996-07-22,6.042,6.042,5.583,5.75,4063800
1996-07-23,5.833,5.917,5.458,5.583,3797400
1996-07-24,5.375,5.958,5.333,5.833,5924400
1996-07-25,5.875,6.333,5.792,6.208,3894600
1996-07-26,6.167,6.375,6.125,6.25,2034000
1996-07-29,6.208,6.25,6,6.01,3867600
1996-07-30,6.125,6.125,5.833,5.958,2134800
1996-07-31,5.875,5.958,5.792,5.833,3003000
1996-08-01,5.792,6.042,5.792,5.906,1607400
1996-08-02,5.958,6.25,5.917,6.167,3022800
1996-08-05,6.25,6.792,6.167,6.708,4416000
1996-08-06,6.708,6.917,6.625,6.75,3760200
1996-08-07,6.833,6.833,6.417,6.688,4966800
1996-08-08,6.667,6.792,6.5,6.625,1751400
1996-08-09,6.625,6.708,6.542,6.625,929400
1996-08-12,6.542,6.625,6.417,6.5,1425600
1996-08-13,6.5,6.625,6.417,6.458,1306800
1996-08-14,6.458,6.583,6.333,6.5,1855800
1996-08-15,6.5,6.5,6.375,6.375,687000
1996-08-16,6.458,6.5,6.167,6.208,2023800
1996-08-19,6.25,6.25,6.083,6.125,1561800
1996-08-20,6.125,6.25,6.125,6.125,1998600
1996-08-21,6.208,6.208,6.083,6.208,782400
1996-08-22,6.125,6.583,6.125,6.583,2364000
1996-08-23,6.583,6.667,6.375,6.417,2280600
1996-08-26,6.375,6.417,6.125,6.125,2794200
1996-08-27,6.167,6.333,6.125,6.292,1425600
1996-08-28,6.292,6.5,6.208,6.417,3112800
1996-08-29,6.375,6.417,6.167,6.208,826800
1996-08-30,6.25,6.25,6.083,6.083,1061400
1996-09-03,5.917,6.125,5.875,6.042,1771800
1996-09-04,5.75,5.75,5.417,5.417,8826600
1996-09-05,5.292,5.542,5.292,5.375,4627800
1996-09-06,5.5,5.542,5.333,5.375,4305600
1996-09-09,5.458,5.458,5.333,5.417,1432200
1996-09-10,5.375,5.417,5,5.021,4460400
1996-09-11,5.042,5.042,4.542,4.792,10272000
1996-09-12,4.75,4.875,4.708,4.75,3022200
