date,open,high,low,close,volume
2026-01-02,660.6,661.99,622.23,629.46,2738700
2026-01-05,629.46,639.52,619.7,633.84,2170700
2026-01-06,630.2,649.24,627.72,647.2,2564200
2026-01-07,650,657.24,645.59,651.15,1396400
2026-01-08,640.6,657.81,638.75,652.75,1651400
2026-01-09,650.45,652.71,636,646.9,1304600
2026-01-12,640.1,642.96,628.64,635.44,1601200
2026-01-13,632.1,637.26,604.39,605.28,2656800
2026-01-14,590.99,592.66,556.66,566.6,4834000
2026-01-15,565.78,571.34,551.63,554.58,3405000
2026-01-16,552.78,554,535.1,545.29,4773200
2026-01-20,537.76,540.91,526.74,528.95,3588800
2026-01-21,532,537.42,520.69,524.92,2643600
2026-01-22,526.84,548.25,526.84,547.69,3228300
2026-01-23,546.82,564.57,545.72,563.97,3274000
2026-01-26,564.15,569.38,561.68,561.77,2111600
2026-01-27,560.58,561.57,537.34,545.4,2459200
2026-01-28,548.77,553,537.35,538.7,2261400
2026-01-29,512.46,513.72,491.72,502.98,5915400
2026-01-30,501.5,506.11,496.66,498.92,3885500
2026-02-02,500.41,502.62,486.62,487.12,2880600
2026-02-03,468.5,469.99,427.26,434.09,7569100
2026-02-04,427.94,450.49,411.11,445.64,6971000
2026-02-05,448.5,460.42,431.14,434.91,5211300
2026-02-06,437.12,448,435.4,443.77,3645600
2026-02-09,438.67,441.16,430.94,437.5,3720500
2026-02-10,434.65,451.09,420.36,421.39,5184000
2026-02-11,419.6,422,392.38,399.69,6089000
2026-02-12,397.95,409,391.15,397.96,4334000
2026-02-13,397.02,407.39,389.32,399.4,4888300
2026-02-17,393.08,397,375.4,379.17,5481300
2026-02-18,380.25,398.13,375.5,389.57,4526900
2026-02-19,390.5,390.5,379.16,381.54,2961700
2026-02-20,380.88,392.96,378.88,380.55,4122800
2026-02-23,374.95,374.95,349,359.55,5495900
2026-02-24,368.01,372.84,356.52,358.71,6576000
2026-02-25,356.55,381.59,353.53,381.23,5299400
2026-02-26,388,406.87,385.56,394.42,9787200
2026-02-27,384.68,409.63,384.68,409.03,8184700
2026-03-02,402.45,429.63,401.45,419.06,5673400
2026-03-03,414.59,438.5,411.6,433.35,5902600
2026-03-04,432.95,442.05,427.15,440.14,4242200
2026-03-05,439.17,471.38,438.93,466.79,7369500
2026-03-06,467,483.21,463.6,481.17,5508900
2026-03-09,475.71,481,466.1,473.67,3985900
2026-03-10,474.01,475,448.27,453.95,5013200
2026-03-11,458.1,458.5,435.51,440.45,2863500
2026-03-12,440.4,450.65,434.43,435.13,3543800
2026-03-13,431.93,441.94,428.99,439.96,2340000
2026-03-16,445.32,455.89,442.11,452.31,3051500
2026-03-17,455.08,474.77,454.5,459.28,2532900
2026-03-18,450.57,458.99,443.29,446.79,2467300
2026-03-19,452.88,470,451.54,455.24,2598500
2026-03-20,444.49,462.86,440.67,455.56,4718500
2026-03-23,456,464.99,449.73,457.02,3124700
2026-03-24,451.37,452.85,431.2,432.45,2824600
2026-03-25,438.26,442.5,417.21,426.86,2212600
2026-03-26,423.8,443.62,423.8,432.55,2192900
2026-03-27,426.49,427.47,409.5,416.44,2649900
2026-03-30,419.39,432.29,418.4,429.03,2296300
2026-03-31,428.24,435.41,420.69,432.38,3293300
2026-04-01,431.26,431.62,413.75,425.87,2743600
2026-04-02,430.94,436.59,420.49,422.48,2554800
2026-04-06,419.92,422.62,411.2,417.36,2182700
2026-04-07,413.62,418.96,407.51,410.24,2154100
2026-04-08,416.8,417.2,386.21,389.51,4716200
2026-04-09,380.2,382.03,354.55,361.69,7471800
2026-04-10,359.79,360.4,342.11,350.94,7791200
2026-04-13,354.5,370.45,352.01,369.44,3483700
2026-04-14,373.63,378.47,364.33,366.8,2483200
2026-04-15,375,392.05,372.76,389.72,3352800
2026-04-16,400.5,405,385.7,387.11,2675500
2026-04-17,396.25,399.2,389.21,393.25,3186300
2026-04-20,393.9,404.87,391.91,404.83,2814300
2026-04-21,407.82,419,400.67,404.85,3137700
2026-04-22,405.51,413.78,402.72,408.68,3354300
2026-04-23,385,385.82,373.96,383.3,3900200
2026-04-24,381.87,396.73,381,395.95,2336200
2026-04-27,390.05,398.99,384.68,389.92,2380800
2026-04-28,398,404.21,396.6,400.38,2225100
2026-04-29,396.69,396.9,389.01,395.08,1885000
2026-04-30,382,390.19,380,388.5,2450900
2026-05-01,402.2,408.42,386.78,399.04,2102000
2026-05-04,400.26,418.15,399.4,406.99,2379700
2026-05-05,404.63,404.63,390.34,398.32,2078400
2026-05-06,390,398.28,381.51,388.55,2247700
2026-05-07,395.38,411.8,395,406.78,2200400
2026-05-08,395.54,399.71,385.2,396.31,2348500
2026-05-11,392.52,400.08,389,393.29,1622500
2026-05-12,395.06,396.16,385.59,387.74,2575200
2026-05-13,383.2,384.87,369.56,371.71,3494300
2026-05-14,371.66,385.83,366.3,378.29,2461900
2026-05-15,384.67,399.39,384.67,393,3524200
2026-05-18,391.83,407.76,387.52,403.16,2637200
2026-05-19,418.1,423.99,397.91,399.71,3179548
