date,open,high,low,close,volume
2000-01-03,3.767,3.8,3.379,3.746,31839000
2000-01-04,3.641,3.717,3.537,3.583,32958000
2000-01-05,3.567,3.633,3.425,3.531,30948000
2000-01-06,3.494,3.633,3.433,3.506,26421000
2000-01-07,3.517,3.575,3.317,3.558,36846000
2000-01-10,3.571,3.833,3.569,3.742,56373000
2000-01-11,3.692,3.963,3.667,3.696,42903000
2000-01-12,3.725,3.875,3.596,3.8,51381000
2000-01-13,3.823,3.842,3.696,3.792,27291000
2000-01-14,3.869,4.387,3.867,4.325,85572000
2000-01-18,4.258,4.392,4.175,4.323,57048000
2000-01-19,4.344,4.625,4.179,4.546,53298000
2000-01-20,4.61,4.821,4.463,4.769,62409000
2000-01-21,4.983,4.985,4.498,4.631,75090000
2000-01-24,4.829,4.838,4.458,4.483,45117000
2000-01-25,4.529,4.667,4.35,4.596,35952000
2000-01-26,4.542,4.65,4.292,4.3,53598000
2000-01-27,4.382,4.556,4.3,4.317,31500000
2000-01-28,4.315,4.367,4,4.129,31437000
2000-01-31,4.081,4.183,3.898,4.162,43737000
2000-02-01,4.165,4.394,4.083,4.379,36750000
2000-02-02,4.381,4.604,4.315,4.575,30252000
2000-02-03,4.59,4.704,4.456,4.673,32562000
2000-02-04,4.692,4.785,4.463,4.569,33432000
2000-02-07,4.608,4.729,4.529,4.633,29988000
2000-02-08,4.683,4.715,4.533,4.629,28173000
2000-02-09,4.558,4.771,4.477,4.56,28683000
2000-02-10,4.556,4.825,4.452,4.798,26403000
2000-02-11,4.746,4.808,4.579,4.673,22095000
2000-02-14,4.704,4.833,4.673,4.812,22113000
2000-02-15,4.812,4.815,4.598,4.767,23313000
2000-02-16,4.781,5,4.708,4.738,45831000
2000-02-17,4.75,4.885,4.55,4.867,34023000
2000-02-18,4.885,4.9,4.567,4.615,23664000
2000-02-22,4.573,4.725,4.308,4.631,27831000
2000-02-23,4.694,4.9,4.675,4.887,40659000
2000-02-24,4.923,5,4.635,4.767,32595000
2000-02-25,4.771,4.833,4.542,4.583,30144000
