date,open,high,low,close,volume
2026-01-02,177.85,185.78,177.5,185.06,11957400
2026-01-05,190.12,198.36,190.12,194.76,16268200
2026-01-06,197.79,210.45,197.15,206.96,18787600
2026-01-07,202.58,205.38,199.8,203.08,15121000
2026-01-08,202.87,203.22,195.04,200.96,13928600
2026-01-09,204.66,219.59,202.72,218.36,16758600
2026-01-12,216.12,222.58,215.18,220.4,10749100
2026-01-13,219.42,220.57,213.39,214.38,12737000
2026-01-14,211.13,211.31,206.61,208.79,18187200
2026-01-15,228.15,229.57,217.21,217.47,15249800
2026-01-16,221.9,225.69,219,222.96,14392700
2026-01-20,218.21,226.15,217.61,222.41,11601700
2026-01-21,223.05,232.9,220.66,228.39,12454800
2026-01-22,235.56,236.1,219.76,220.7,11958600
2026-01-23,217.87,223.36,213.87,217.94,10156800
2026-01-26,218.98,225.35,215.93,222.87,10625600
2026-01-27,230.63,239.5,228.76,238.46,12005900
2026-01-28,241.27,243.99,237.14,239.58,15630600
2026-01-29,245.61,251.38,236.82,248.17,16801600
2026-01-30,244.26,251.87,232,233.46,18352900
2026-02-02,233.33,242.95,232,237.5,13299300
2026-02-03,244.89,246.62,226.88,230.1,13500400
2026-02-04,229.87,231.11,205.11,209.78,19608000
2026-02-05,208.13,215.85,204.57,213.31,10928900
2026-02-06,220.67,232.45,218.76,231.01,13848800
2026-02-09,229.01,231.32,223.39,229.28,9976700
2026-02-10,229.28,229.31,220.25,226.61,7909500
2026-02-11,235.55,240.34,230.04,235.12,9555800
2026-02-12,236.33,238.91,229.64,231.29,10662100
2026-02-13,236.18,242.78,233.39,235.53,9905400
2026-02-17,231.45,238.15,228.88,235.58,7368500
2026-02-18,236.38,245.27,234.1,240.09,10095400
2026-02-19,234.07,237.92,231.42,237.39,6384200
2026-02-20,237.55,245.76,236.97,244.92,8601200
2026-02-23,245.35,249.4,237.37,242.27,9488000
2026-02-24,243.45,247.76,238.98,244.25,9087100
2026-02-25,249.89,256.68,248.39,249.48,9835400
2026-02-26,246.03,248.5,230.7,239.07,10700300
2026-02-27,233.46,240.1,232.68,233.89,12988900
2026-03-02,229.28,233.83,227.23,231,10294000
2026-03-03,223.77,224.12,215.79,217.27,12442300
2026-03-04,221.71,225.12,219,222.99,8614400
2026-03-05,218.41,222.41,208.13,214.68,10241000
2026-03-06,205.45,211.24,198.45,199.33,13597800
2026-03-09,195,211.5,194.08,211.15,13421000
2026-03-10,211,220.82,210.88,215.23,10699700
2026-03-11,214.45,221.62,214,218.87,7160500
2026-03-12,213.67,215.17,208,209.49,9932900
2026-03-13,212.34,218,211.23,212.2,8906500
2026-03-16,217.95,221.46,215.95,219.4,9533100
2026-03-17,220.53,226.71,218.55,226.47,10043700
2026-03-18,226.74,232.32,222.98,224.71,12478800
2026-03-19,218.17,235.14,215,233.99,10101900
2026-03-20,234.32,236.84,222.05,228.36,26176400
2026-03-23,230.39,239.52,227.07,233.31,9506200
2026-03-24,230.16,241.37,230.16,238.84,7388000
2026-03-25,236.15,237.1,227.36,233.45,8330600
2026-03-26,225.74,226.89,211.38,211.62,13460500
2026-03-27,209.67,217,209,211.41,8503300
2026-03-30,214.56,216.29,198.6,199.93,11921000
2026-03-31,206,213.84,203.01,213.66,11725000
2026-04-01,215.45,225.5,215,222.01,10697600
2026-04-02,208.84,222.01,208.8,218.44,6805400
2026-04-06,220.13,221.56,216.53,220.65,4031200
2026-04-07,218.24,224.49,216.5,224.35,6818400
2026-04-08,242.75,249.19,241.49,246.49,11023000
2026-04-09,248.33,259,247.35,258.76,9757800
2026-04-10,263.19,268.23,259.33,263.66,9124700
2026-04-13,263.12,267.54,260.85,267.32,8773600
2026-04-14,271.86,273.5,264.9,272.41,8500600
2026-04-15,267,267.99,255.48,265.16,11324200
2026-04-16,263.48,266.25,259.18,260.96,7829400
2026-04-17,267.97,268.76,262.42,267.6,8465400
2026-04-20,267.1,267.65,262.54,263.16,5989900
2026-04-21,263.81,265.6,256.71,258.37,7830300
2026-04-22,261.71,266.14,257.4,265.55,9803300
2026-04-23,265.05,272.82,253.28,258.56,12269100
2026-04-24,267.5,275.84,266.88,267.78,12313200
2026-04-27,267.76,268.83,256.31,259.47,8095400
2026-04-28,251.98,253.7,243.04,251.23,11499500
2026-04-29,253.17,253.96,241.6,248.75,9585300
2026-04-30,252.39,258.58,248.66,257.86,10381100
2026-05-01,255.14,260.44,250.12,256.72,8094500
2026-05-04,256.69,263.08,254.95,258.57,6497400
2026-05-05,266.64,280,266.64,275.8,11884000
2026-05-06,287,297.87,285.85,297.17,14788600
2026-05-07,297.03,298,283.14,286.52,9704500
2026-05-08,295.72,297.42,287.52,294.05,8996700
2026-05-11,292.51,300,292.51,296.05,9150000
2026-05-12,287.22,290.35,277.77,289.24,9341800
2026-05-13,295.27,298.98,287.18,295.44,8633100
2026-05-14,296.33,302,293.01,299.15,6404900
2026-05-15,289.44,289.44,276.48,284.72,9643200
2026-05-18,292.74,294.56,273.08,277.96,8562200
2026-05-19,267.95,278.73,263.71,273.38,8308600
2026-05-20,277.52,293.63,277.52,292.09,8547772
