date,open,high,low,close,volume
1996-01-02,5.492,5.609,5.461,5.609,57779200
1996-01-03,5.57,5.633,5.422,5.43,62857600
1996-01-04,5.453,5.469,5.305,5.461,102353600
1996-01-05,5.391,5.477,5.383,5.398,62083200
1996-01-08,5.406,5.477,5.383,5.391,11377600
1996-01-09,5.375,5.375,4.992,5.012,177424000
1996-01-10,5.031,5.203,5.03,5.148,181571200
1996-01-11,5.219,5.43,5.195,5.414,116617600
1996-01-12,5.406,5.43,5.242,5.359,80544000
1996-01-15,5.367,5.367,5.117,5.156,84572800
1996-01-16,5.227,5.405,5.203,5.398,122006400
1996-01-17,5.297,5.469,5.289,5.305,143078400
1996-01-18,5.344,5.555,5.312,5.477,121331200
1996-01-19,5.641,5.828,5.602,5.742,227440000
1996-01-22,5.727,5.797,5.68,5.75,82643200
1996-01-23,5.711,5.734,5.578,5.594,66473600
1996-01-24,5.617,5.781,5.594,5.703,92217600
1996-01-25,5.711,5.727,5.562,5.586,59881600
1996-01-26,5.57,5.68,5.562,5.656,50881600
1996-01-29,5.672,5.703,5.585,5.648,39587200
1996-01-30,5.68,5.711,5.664,5.676,45120000
1996-01-31,5.672,5.789,5.633,5.781,68774400
1996-02-01,5.766,5.891,5.75,5.883,78587200
1996-02-02,5.875,5.883,5.758,5.812,44686400
1996-02-05,5.797,6.078,5.797,6.07,126480000
1996-02-06,6.031,6.094,5.977,6.031,98158400
1996-02-07,6,6.07,5.968,6.055,65555200
1996-02-08,6.039,6.219,5.969,6.18,103924800
1996-02-09,6.172,6.266,6.156,6.258,122832000
1996-02-12,6.234,6.32,6.195,6.219,87779200
1996-02-13,6.109,6.266,6.094,6.227,114513600
1996-02-14,6.258,6.258,6.148,6.172,80212800
1996-02-15,6.156,6.195,6.109,6.156,52195200
1996-02-16,6.172,6.203,6.117,6.117,62206400
1996-02-20,6.078,6.156,6.055,6.109,64182400
1996-02-21,6.109,6.258,6.094,6.242,80046400
1996-02-22,6.25,6.414,6.25,6.406,106500800
1996-02-23,6.414,6.477,6.367,6.469,102640000
1996-02-26,6.438,6.453,6.281,6.289,63696000
1996-02-27,6.297,6.301,6.233,6.258,60958400
1996-02-28,6.297,6.375,6.242,6.258,60051200
1996-02-29,6.188,6.258,6.16,6.168,61723200
