date,open,high,low,close,volume
2026-01-02,484.39,484.66,470.16,472.94,25571600
2026-01-05,474.06,476.07,469.5,472.85,25250300
2026-01-06,473.8,478.74,469.75,478.51,23037700
2026-01-07,479.76,489.7,477.95,483.47,25564200
2026-01-08,481.24,482.66,475.86,478.11,18162600
2026-01-09,474.06,479.82,472.2,479.28,18491000
2026-01-12,476.67,480.99,475.68,477.18,23519900
2026-01-13,474.68,475.78,465.95,470.67,28545800
2026-01-14,466.46,468.2,457.17,459.38,28184300
2026-01-15,464.12,464.25,455.9,456.66,23225800
2026-01-16,457.83,463.19,456.48,459.86,34246700
2026-01-20,451.22,456.8,449.28,454.52,26130000
2026-01-21,452.6,452.69,438.68,444.11,37980500
2026-01-22,447.62,452.84,444.7,451.14,25349400
2026-01-23,451.87,471.1,450.53,465.95,38000200
2026-01-26,465.31,474.25,462,470.28,29291200
2026-01-27,473.7,482.87,473.16,480.58,29213900
2026-01-28,483.21,483.74,478,481.63,36875400
2026-01-29,439.99,442.5,421.02,433.5,128855300
2026-01-30,439.17,439.6,426.45,430.29,58566800
2026-02-02,430.24,430.74,422.25,423.37,42219900
2026-02-03,422.01,422.05,408.56,411.21,61424100
2026-02-04,411,419.8,409.24,414.19,45012400
2026-02-05,407.44,408.3,392.32,393.67,66289200
2026-02-06,399.17,401.79,392.92,401.14,53515300
2026-02-09,404.85,414.89,400.87,413.6,45480500
2026-02-10,419.62,423.68,412.7,413.27,44857900
2026-02-11,416.18,416.46,401.01,404.37,42491000
2026-02-12,405,406.2,398.01,401.84,40802400
2026-02-13,404.45,405.54,398.05,401.32,34091600
2026-02-17,399.22,400.52,394.53,396.86,32078800
2026-02-18,398.13,402.56,396.32,399.6,23223400
2026-02-19,400.69,404.43,396.67,398.46,28234000
2026-02-20,396.11,400.12,395.16,397.23,34015200
2026-02-23,395,395.36,383.1,384.47,43238300
2026-02-24,384.14,389.36,381.71,389,33884700
2026-02-25,390.53,401.47,390.16,400.6,43625500
2026-02-26,404.71,407.49,398.74,401.72,34405900
2026-02-27,390.88,396.82,389.88,392.74,51367200
2026-03-02,392.86,401.19,390.63,398.55,35474900
2026-03-03,393.14,406.7,392.67,403.93,38199200
2026-03-04,401.27,411.03,400.31,405.2,35808000
2026-03-05,404.42,411.61,404.4,410.68,39001300
2026-03-06,409.2,413.05,408.51,408.96,31123900
2026-03-09,404.92,410.21,403.5,409.41,30131900
2026-03-10,410.03,410.2,402.93,405.76,31706400
2026-03-11,405.57,409.01,401.59,404.88,25512100
2026-03-12,404.63,406.12,401.71,401.86,27263900
2026-03-13,401,404.8,394.25,395.55,26848000
2026-03-16,398.07,400.63,394.79,399.95,27733700
2026-03-17,400.27,404.4,397.75,399.41,26228300
2026-03-18,397.13,398,391,391.79,25908500
2026-03-19,390.1,392.49,387.06,389.02,25138800
2026-03-20,386.79,387,380.12,381.87,50853200
2026-03-23,383.9,387.21,381.68,383,29680100
2026-03-24,382.36,382.47,371.85,372.74,42733600
2026-03-25,376.92,377.06,369.63,371.04,31181200
2026-03-26,370.82,374.72,365.19,365.97,36836600
2026-03-27,361.9,362.45,356.51,356.77,37883400
2026-03-30,361.9,365.36,356.28,358.96,44797000
2026-03-31,364.55,372.9,363.07,370.17,45244400
2026-04-01,373.49,373.99,368.2,369.37,29417200
2026-04-02,367.21,373.64,364.15,373.46,24099100
2026-04-06,373.49,373.73,369.5,372.88,16146600
2026-04-07,370.34,372.45,366.56,372.29,21443300
2026-04-08,384.98,385,371.41,374.33,33064800
2026-04-09,372.5,373.5,367.05,373.07,30435300
2026-04-10,372.98,375.64,370.03,370.87,28111100
2026-04-13,373.61,384.54,371.02,384.37,35745800
2026-04-14,387.92,394.69,386.52,393.11,37504500
2026-04-15,398,414.37,396.73,411.22,45063400
2026-04-16,419.86,420.82,412.14,420.26,41642400
2026-04-17,424.82,431.58,420.69,422.79,48568200
2026-04-20,421.15,423.33,416.3,418.07,27582200
2026-04-21,420.24,427.18,417.2,424.16,32048500
2026-04-22,426.19,433.7,423.67,432.92,29378200
2026-04-23,419.89,423.66,411.41,415.75,38308000
2026-04-24,416.97,424.95,415.8,424.62,27457400
2026-04-27,422.38,427.11,417.07,424.82,30867300
2026-04-28,424.57,429.92,421.9,429.25,30438100
2026-04-29,424.58,426.82,420.29,424.46,38288300
2026-04-30,410.81,414.42,398.01,407.78,70909400
2026-05-01,412.8,417.11,410.44,414.44,31372400
2026-05-04,411.54,420.78,410.8,413.62,28066500
2026-05-05,415.32,416.78,408.8,411.38,25700900
2026-05-06,408,418.42,405.11,413.96,30285900
2026-05-07,420.11,427.98,418.76,420.77,34942400
2026-05-08,417.39,418.63,414,415.12,33383800
2026-05-11,407.87,412.69,405.5,412.66,35657900
2026-05-12,414.48,415.5,406.64,407.77,38594200
2026-05-13,403.2,406.31,401.03,405.21,29667100
2026-05-14,404.48,411.84,400.88,409.43,27077500
2026-05-15,414.27,428.17,412.91,421.92,50310800
