date,open,high,low,close,volume
2008-01-02,0.379,0.389,0.366,0.376,125279000
2008-01-03,0.399,0.404,0.366,0.372,213402000
2008-01-04,0.372,0.38,0.348,0.352,172025000
2008-01-07,0.353,0.356,0.339,0.355,126938000
2008-01-08,0.354,0.355,0.325,0.333,144900000
2008-01-09,0.332,0.336,0.31,0.329,152005000
2008-01-10,0.323,0.357,0.318,0.353,133791000
2008-01-11,0.35,0.352,0.334,0.334,89817000
2008-01-14,0.341,0.349,0.325,0.325,161658000
2008-01-15,0.323,0.331,0.296,0.315,378952000
2008-01-16,0.308,0.322,0.3,0.315,179564000
2008-01-17,0.313,0.323,0.309,0.311,118440000
2008-01-18,0.312,0.324,0.308,0.312,124964000
2008-01-22,0.303,0.325,0.291,0.318,141274000
2008-01-23,0.315,0.34,0.3,0.339,293706000
2008-01-24,0.338,0.339,0.307,0.313,389270000
2008-01-25,0.318,0.324,0.302,0.311,198653000
2008-01-28,0.316,0.329,0.308,0.328,116501000
2008-01-29,0.33,0.332,0.324,0.331,70826000
2008-01-30,0.334,0.336,0.322,0.328,93072000
2008-01-31,0.322,0.362,0.316,0.359,232239000
2008-02-01,0.354,0.366,0.351,0.363,126231000
2008-02-04,0.363,0.374,0.361,0.37,118839000
2008-02-05,0.364,0.368,0.354,0.361,89453000
2008-02-06,0.369,0.384,0.363,0.372,151074000
2008-02-07,0.366,0.384,0.366,0.384,167671000
2008-02-08,0.378,0.386,0.372,0.384,108507000
2008-02-11,0.385,0.386,0.382,0.384,95949000
2008-02-12,0.386,0.39,0.379,0.384,74277000
2008-02-13,0.387,0.391,0.381,0.39,70994000
2008-02-14,0.385,0.388,0.376,0.382,62734000
2008-02-15,0.379,0.382,0.372,0.38,67347000
2008-02-19,0.376,0.394,0.368,0.383,98392000
2008-02-20,0.378,0.397,0.375,0.392,128156000
2008-02-21,0.393,0.4,0.39,0.398,71120000
2008-02-22,0.396,0.4,0.391,0.397,57400000
2008-02-25,0.396,0.403,0.396,0.4,68019000
2008-02-26,0.397,0.421,0.397,0.414,165921000
2008-02-27,0.437,0.465,0.429,0.463,412832000
2008-02-28,0.452,0.49,0.45,0.451,351827000
2008-02-29,0.455,0.457,0.43,0.451,167748000
2008-03-03,0.454,0.457,0.438,0.442,129948000
2008-03-04,0.437,0.451,0.433,0.45,89355000
2008-03-05,0.453,0.466,0.448,0.459,121359000
2008-03-06,0.452,0.455,0.437,0.437,90503000
2008-03-07,0.436,0.453,0.431,0.447,106008000
2008-03-10,0.457,0.478,0.45,0.474,143150000
2008-03-11,0.479,0.489,0.461,0.473,179900000
2008-03-12,0.474,0.493,0.474,0.486,158942000
2008-03-13,0.479,0.49,0.465,0.489,100450000
2008-03-14,0.491,0.493,0.469,0.475,79555000
2008-03-17,0.469,0.481,0.462,0.471,93009000
2008-03-18,0.482,0.5,0.478,0.5,124124000
2008-03-19,0.5,0.515,0.495,0.498,130998000
2008-03-20,0.543,0.543,0.511,0.518,235242000
2008-03-24,0.533,0.566,0.526,0.545,168560000
2008-03-25,0.549,0.552,0.527,0.53,120015000
2008-03-26,0.529,0.542,0.519,0.541,109487000
2008-03-27,0.532,0.534,0.502,0.519,128093000
2008-03-28,0.519,0.534,0.504,0.508,92099000
2008-03-31,0.517,0.519,0.484,0.495,145278000
2008-04-01,0.507,0.527,0.491,0.522,161735000
2008-04-02,0.516,0.529,0.511,0.519,95991000
2008-04-03,0.511,0.545,0.511,0.533,89901000
2008-04-04,0.536,0.536,0.513,0.517,68775000
2008-04-07,0.523,0.523,0.503,0.513,53578000
2008-04-08,0.522,0.529,0.506,0.527,64575000
2008-04-09,0.53,0.53,0.515,0.52,79828000
2008-04-10,0.515,0.529,0.512,0.522,55258000
2008-04-11,0.518,0.522,0.502,0.507,78876000
2008-04-14,0.514,0.52,0.506,0.511,68110000
2008-04-15,0.514,0.521,0.508,0.521,57211000
2008-04-16,0.526,0.559,0.522,0.557,154336000
2008-04-17,0.556,0.584,0.549,0.581,239085000
2008-04-18,0.582,0.584,0.547,0.551,148414000
2008-04-21,0.551,0.58,0.551,0.562,221725000
2008-04-22,0.482,0.482,0.421,0.429,732319000
2008-04-23,0.43,0.45,0.424,0.447,201474000
2008-04-24,0.444,0.475,0.443,0.472,138012000
2008-04-25,0.474,0.486,0.471,0.485,101591000
2008-04-28,0.474,0.479,0.466,0.472,103957000
2008-04-29,0.466,0.471,0.455,0.46,72331000
2008-04-30,0.457,0.463,0.446,0.457,109060000
2008-05-01,0.452,0.457,0.433,0.443,173236000
2008-05-02,0.444,0.449,0.437,0.444,77035000
2008-05-05,0.446,0.453,0.437,0.443,83230000
2008-05-06,0.441,0.443,0.435,0.442,49966000
2008-05-07,0.439,0.446,0.429,0.431,67074000
2008-05-08,0.433,0.44,0.425,0.431,99967000
2008-05-09,0.429,0.439,0.429,0.439,48944000
2008-05-12,0.439,0.453,0.436,0.439,105791000
2008-05-13,0.438,0.44,0.43,0.438,63910000
2008-05-14,0.438,0.444,0.432,0.434,76860000
2008-05-15,0.432,0.435,0.422,0.428,152733000
2008-05-16,0.431,0.456,0.429,0.452,148015000
2008-05-19,0.451,0.464,0.438,0.443,89201000
2008-05-20,0.47,0.491,0.447,0.452,313663000
2008-05-21,0.46,0.464,0.451,0.453,131257000
2008-05-22,0.451,0.454,0.441,0.453,93135000
2008-05-23,0.451,0.452,0.43,0.446,96887000
2008-05-27,0.446,0.458,0.443,0.458,56021000
2008-05-28,0.457,0.463,0.442,0.445,130361000
2008-05-29,0.432,0.445,0.426,0.434,158627000
2008-05-30,0.435,0.441,0.43,0.434,88711000
2008-06-02,0.433,0.442,0.433,0.441,78015000
2008-06-03,0.443,0.458,0.443,0.455,95438000
2008-06-04,0.452,0.464,0.45,0.462,66717000
2008-06-05,0.461,0.486,0.455,0.474,107149000
2008-06-06,0.469,0.469,0.454,0.455,67039000
2008-06-09,0.455,0.457,0.434,0.445,68852000
2008-06-10,0.439,0.448,0.435,0.438,45745000
2008-06-11,0.436,0.445,0.431,0.432,50120000
2008-06-12,0.432,0.448,0.432,0.443,43974000
2008-06-13,0.448,0.461,0.448,0.46,47243000
2008-06-16,0.457,0.458,0.449,0.456,35525000
2008-06-17,0.456,0.456,0.447,0.447,30513000
2008-06-18,0.444,0.445,0.429,0.431,69503000
2008-06-19,0.429,0.46,0.425,0.459,84609000
2008-06-20,0.461,0.461,0.442,0.449,77756000
2008-06-23,0.45,0.45,0.422,0.423,91763000
2008-06-24,0.425,0.432,0.408,0.414,107611000
2008-06-25,0.416,0.427,0.414,0.423,62979000
2008-06-26,0.421,0.425,0.41,0.411,86744000
2008-06-27,0.41,0.41,0.376,0.382,147553000
2008-06-30,0.379,0.386,0.372,0.372,81494000
2008-07-01,0.383,0.394,0.378,0.387,176197000
2008-07-02,0.386,0.39,0.381,0.389,132048000
2008-07-03,0.386,0.397,0.384,0.39,108066000
2008-07-07,0.393,0.406,0.391,0.404,114345000
2008-07-08,0.405,0.409,0.395,0.406,100429000
2008-07-09,0.406,0.415,0.406,0.409,106743000
2008-07-10,0.407,0.412,0.393,0.398,83307000
2008-07-11,0.393,0.398,0.377,0.389,86156000
2008-07-14,0.39,0.405,0.384,0.397,174454000
2008-07-15,0.394,0.403,0.387,0.396,124544000
2008-07-16,0.392,0.404,0.392,0.402,91854000
2008-07-17,0.4,0.403,0.384,0.397,95949000
2008-07-18,0.397,0.399,0.385,0.387,97230000
2008-07-21,0.386,0.392,0.383,0.391,89873000
2008-07-22,0.391,0.396,0.386,0.389,167832000
2008-07-23,0.388,0.403,0.388,0.4,105539000
2008-07-24,0.395,0.396,0.381,0.382,129234000
2008-07-25,0.406,0.412,0.383,0.398,271761000
2008-07-28,0.4,0.414,0.397,0.409,130515000
2008-07-29,0.413,0.445,0.411,0.443,196812000
2008-07-30,0.442,0.448,0.43,0.436,92169000
2008-07-31,0.434,0.447,0.433,0.441,143115000
2008-08-01,0.436,0.439,0.412,0.417,176358000
2008-08-04,0.424,0.43,0.423,0.426,118440000
2008-08-05,0.433,0.433,0.421,0.427,82628000
2008-08-06,0.425,0.432,0.424,0.429,77784000
2008-08-07,0.424,0.441,0.424,0.435,101185000
2008-08-08,0.436,0.452,0.436,0.444,91882000
2008-08-11,0.441,0.463,0.439,0.46,140112000
2008-08-12,0.462,0.462,0.436,0.44,87738000
2008-08-13,0.438,0.445,0.432,0.445,93303000
2008-08-14,0.441,0.459,0.437,0.455,136570000
2008-08-15,0.458,0.465,0.443,0.447,97510000
2008-08-18,0.448,0.45,0.434,0.437,76909000
2008-08-19,0.435,0.438,0.427,0.43,60368000
2008-08-20,0.431,0.438,0.427,0.436,51072000
2008-08-21,0.428,0.435,0.427,0.429,53872000
2008-08-22,0.43,0.44,0.429,0.438,53445000
2008-08-25,0.435,0.438,0.427,0.428,57099000
2008-08-26,0.427,0.436,0.426,0.43,102627000
2008-08-27,0.427,0.443,0.427,0.438,62923000
2008-08-28,0.433,0.45,0.433,0.445,86758000
2008-08-29,0.445,0.449,0.436,0.441,43337000
2008-09-02,0.445,0.457,0.436,0.441,89383000
2008-09-03,0.444,0.453,0.438,0.442,54096000
2008-09-04,0.438,0.447,0.424,0.427,131950000
2008-09-05,0.421,0.426,0.408,0.424,109235000
2008-09-08,0.431,0.44,0.423,0.431,111426000
2008-09-09,0.43,0.434,0.41,0.411,93156000
2008-09-10,0.415,0.416,0.406,0.411,87696000
2008-09-11,0.403,0.414,0.394,0.412,83713000
2008-09-12,0.405,0.424,0.405,0.421,73815000
2008-09-15,0.417,0.431,0.4,0.402,65940000
2008-09-16,0.396,0.411,0.392,0.407,108017000
2008-09-17,0.405,0.426,0.4,0.412,114478000
2008-09-18,0.408,0.445,0.408,0.443,182168000
2008-09-19,0.457,0.485,0.441,0.456,149590000
2008-09-22,0.449,0.46,0.444,0.453,69720000
2008-09-23,0.455,0.464,0.447,0.45,58408000
2008-09-24,0.45,0.463,0.436,0.454,59101000
2008-09-25,0.456,0.473,0.447,0.471,62167000
2008-09-26,0.461,0.471,0.45,0.47,39144000
2008-09-29,0.462,0.47,0.444,0.451,80290000
2008-09-30,0.457,0.464,0.425,0.441,107002000
2008-10-01,0.433,0.438,0.423,0.429,65016000
2008-10-02,0.426,0.429,0.404,0.419,52332000
2008-10-03,0.417,0.443,0.41,0.414,50134000
2008-10-06,0.371,0.383,0.36,0.378,280882000
2008-10-07,0.383,0.384,0.312,0.319,124859000
2008-10-08,0.313,0.339,0.307,0.325,138950000
2008-10-09,0.325,0.344,0.324,0.328,125216000
2008-10-10,0.319,0.355,0.309,0.347,95655000
2008-10-13,0.361,0.374,0.356,0.363,83419000
2008-10-14,0.375,0.376,0.338,0.343,96313000
2008-10-15,0.341,0.345,0.322,0.322,53284000
2008-10-16,0.327,0.337,0.31,0.335,96047000
2008-10-17,0.324,0.348,0.321,0.333,66045000
2008-10-20,0.343,0.353,0.321,0.34,91049000
2008-10-21,0.336,0.336,0.296,0.298,149009000
2008-10-22,0.297,0.304,0.286,0.296,124544000
