date,open,high,low,close,volume
2015-01-02,0.503,0.507,0.495,0.503,113680000
2015-01-05,0.503,0.505,0.493,0.495,197952000
2015-01-06,0.495,0.496,0.479,0.48,197764000
2015-01-07,0.483,0.488,0.477,0.479,321808000
2015-01-08,0.484,0.5,0.484,0.496,283780000
2015-01-09,0.498,0.502,0.491,0.498,209540000
2015-01-12,0.5,0.5,0.488,0.492,190732000
2015-01-13,0.496,0.506,0.488,0.491,236720000
2015-01-14,0.486,0.495,0.485,0.493,155260000
2015-01-15,0.497,0.5,0.49,0.49,188932000
2015-01-16,0.489,0.5,0.488,0.499,181512000
2015-01-20,0.502,0.505,0.494,0.501,140308000
2015-01-21,0.498,0.509,0.494,0.507,144780000
2015-01-22,0.508,0.518,0.503,0.516,159712000
2015-01-23,0.517,0.519,0.512,0.518,120416000
2015-01-26,0.516,0.518,0.512,0.516,133240000
2015-01-27,0.507,0.508,0.49,0.491,357948000
2015-01-28,0.497,0.499,0.482,0.483,272728000
2015-01-29,0.483,0.497,0.481,0.495,235340000
2015-01-30,0.491,0.497,0.479,0.48,298200000
2015-02-02,0.483,0.493,0.474,0.491,259604000
2015-02-03,0.494,0.503,0.491,0.503,183468000
2015-02-04,0.501,0.51,0.5,0.504,181516000
2015-02-05,0.504,0.512,0.504,0.512,140448000
2015-02-06,0.512,0.518,0.508,0.51,210524000
2015-02-09,0.507,0.511,0.504,0.51,273944000
2015-02-10,0.51,0.524,0.508,0.524,226204000
2015-02-11,0.525,0.525,0.517,0.52,320832000
2015-02-12,0.55,0.562,0.547,0.558,676904000
2015-02-13,0.556,0.558,0.548,0.558,310084000
2015-02-17,0.557,0.562,0.553,0.559,203340000
2015-02-18,0.559,0.56,0.552,0.553,170948000
2015-02-19,0.56,0.561,0.552,0.554,169432000
2015-02-20,0.554,0.559,0.55,0.558,157752000
2015-02-23,0.558,0.558,0.551,0.554,125008000
2015-02-24,0.554,0.558,0.549,0.558,149356000
2015-02-25,0.555,0.558,0.551,0.553,123820000
2015-02-26,0.554,0.558,0.55,0.555,152864000
2015-02-27,0.553,0.555,0.549,0.552,157492000
2015-03-02,0.55,0.568,0.549,0.565,301512000
2015-03-03,0.561,0.563,0.553,0.554,160344000
2015-03-04,0.553,0.562,0.55,0.561,226840000
2015-03-05,0.561,0.572,0.559,0.572,323056000
2015-03-06,0.568,0.571,0.563,0.564,257392000
2015-03-09,0.564,0.57,0.563,0.565,222388000
2015-03-10,0.568,0.579,0.567,0.575,527212000
2015-03-11,0.575,0.582,0.571,0.572,262120000
2015-03-12,0.567,0.571,0.556,0.567,406972000
2015-03-13,0.564,0.569,0.556,0.567,359288000
2015-03-16,0.572,0.578,0.568,0.574,236956000
2015-03-17,0.573,0.581,0.569,0.581,299900000
2015-03-18,0.581,0.584,0.567,0.572,413844000
2015-03-19,0.574,0.582,0.57,0.581,310756000
2015-03-20,0.585,0.59,0.58,0.587,462084000
2015-03-23,0.569,0.577,0.567,0.568,426012000
2015-03-24,0.566,0.57,0.558,0.56,330480000
2015-03-25,0.56,0.56,0.524,0.526,542552000
2015-03-26,0.515,0.526,0.512,0.524,311920000
2015-03-27,0.527,0.536,0.519,0.535,318288000
2015-03-30,0.537,0.539,0.53,0.537,253252000
2015-03-31,0.535,0.536,0.523,0.523,357276000
2015-04-01,0.525,0.527,0.516,0.525,330768000
2015-04-02,0.528,0.53,0.522,0.526,192204000
2015-04-06,0.524,0.544,0.519,0.542,515864000
2015-04-07,0.542,0.553,0.539,0.547,413964000
2015-04-08,0.547,0.553,0.542,0.55,366432000
2015-04-09,0.546,0.565,0.546,0.563,379432000
2015-04-10,0.564,0.569,0.562,0.569,258728000
2015-04-13,0.568,0.571,0.561,0.564,236724000
2015-04-14,0.562,0.564,0.553,0.559,220276000
2015-04-15,0.561,0.57,0.558,0.566,243560000
2015-04-16,0.562,0.567,0.558,0.562,155284000
2015-04-17,0.55,0.561,0.55,0.555,293636000
2015-04-20,0.558,0.561,0.551,0.552,231624000
2015-04-21,0.559,0.559,0.549,0.552,230456000
2015-04-22,0.555,0.558,0.546,0.558,207420000
2015-04-23,0.548,0.561,0.541,0.555,259380000
2015-04-24,0.555,0.555,0.544,0.551,240960000
2015-04-27,0.553,0.565,0.548,0.555,248456000
2015-04-28,0.554,0.56,0.549,0.558,234484000
2015-04-29,0.554,0.559,0.551,0.553,195156000
2015-04-30,0.551,0.558,0.549,0.555,218844000
2015-05-01,0.559,0.571,0.557,0.569,256968000
2015-05-04,0.568,0.572,0.563,0.565,200720000
2015-05-05,0.563,0.564,0.548,0.551,292928000
2015-05-06,0.554,0.559,0.545,0.553,316484000
2015-05-07,0.55,0.564,0.549,0.562,534564000
2015-05-08,0.525,0.546,0.512,0.521,1146552000
2015-05-11,0.513,0.521,0.51,0.516,544144000
2015-05-12,0.512,0.525,0.512,0.521,388800000
2015-05-13,0.525,0.529,0.519,0.524,308524000
2015-05-14,0.525,0.535,0.524,0.532,293052000
2015-05-15,0.535,0.537,0.529,0.533,215824000
2015-05-18,0.531,0.535,0.529,0.532,324972000
2015-05-19,0.53,0.532,0.525,0.526,253808000
2015-05-20,0.526,0.533,0.525,0.526,196824000
2015-05-21,0.526,0.529,0.522,0.522,239692000
2015-05-22,0.524,0.525,0.52,0.521,212592000
2015-05-26,0.519,0.522,0.514,0.518,259732000
2015-05-27,0.522,0.549,0.52,0.546,432332000
2015-05-28,0.546,0.555,0.545,0.553,327656000
2015-05-29,0.553,0.557,0.553,0.553,335168000
2015-06-01,0.557,0.565,0.553,0.559,372660000
2015-06-02,0.556,0.559,0.548,0.549,224304000
2015-06-03,0.55,0.554,0.541,0.543,250788000
2015-06-04,0.539,0.554,0.539,0.552,323712000
2015-06-05,0.55,0.559,0.545,0.557,313320000
2015-06-08,0.555,0.558,0.538,0.544,342812000
2015-06-09,0.544,0.55,0.543,0.547,256888000
2015-06-10,0.54,0.544,0.534,0.537,529460000
2015-06-11,0.537,0.546,0.537,0.543,283052000
2015-06-12,0.539,0.542,0.526,0.528,323728000
2015-06-15,0.525,0.529,0.521,0.527,306548000
2015-06-16,0.526,0.534,0.521,0.533,256892000
2015-06-17,0.533,0.543,0.532,0.539,233544000
2015-06-18,0.544,0.552,0.543,0.549,299404000
2015-06-19,0.549,0.553,0.542,0.547,355656000
