date,open,high,low,close,volume
2026-01-02,189.84,192.93,188.26,188.85,148240500
2026-01-05,191.76,193.63,186.15,188.12,183529700
2026-01-06,190.52,192.17,186.82,187.24,176862600
2026-01-07,188.57,191.37,186.56,189.11,153543200
2026-01-08,189.11,189.55,183.71,185.04,172457000
2026-01-09,185.08,186.34,183.67,184.86,131327500
2026-01-12,183.22,187.12,183.02,184.94,137968500
2026-01-13,185,188.11,183.4,185.81,160128900
2026-01-14,184.32,184.46,180.8,183.14,159586100
2026-01-15,186.5,189.7,186.33,187.05,206188600
2026-01-16,189.08,190.44,186.08,186.23,187967200
2026-01-20,181.9,182.38,177.61,178.07,223345300
2026-01-21,179.05,185.38,178.4,183.32,200381000
2026-01-22,184.75,186.17,183.93,184.84,139636600
2026-01-23,187.5,189.6,186.82,187.67,142748100
2026-01-26,187.16,189.12,185.99,186.47,124799600
2026-01-27,187.24,190,185.7,188.52,143711600
2026-01-28,191.27,192.35,189.84,191.52,148552700
2026-01-29,191.34,193.48,186.06,192.51,171764400
2026-01-30,191.21,194.49,189.47,191.13,179489500
2026-02-02,187.2,190.3,184.88,185.61,165794100
2026-02-03,186.24,186.27,176.23,180.34,204019600
2026-02-04,179.46,179.58,171.91,174.19,207014100
2026-02-05,174.93,176.82,171.03,171.88,206312900
2026-02-06,176.69,187,174.6,185.41,231346200
2026-02-09,184.26,193.66,183.95,190.04,196387400
2026-02-10,191.38,192.48,188.12,188.54,136764800
2026-02-11,192.45,193.26,188.77,190.05,144192700
2026-02-12,193.03,193.61,186.51,186.94,189932500
2026-02-13,187.48,187.5,181.59,182.81,161888000
2026-02-17,181.75,187.15,179.18,184.97,162276900
2026-02-18,188.75,190.37,186.76,187.98,164749100
2026-02-19,187.06,188.43,185.66,187.9,126554500
2026-02-20,186.57,190.33,185.94,189.82,178422300
2026-02-23,191.4,193.95,189.58,191.55,171584800
2026-02-24,191.49,193.77,187.4,192.85,175123600
2026-02-25,194.45,197.63,193.79,195.56,250637100
2026-02-26,194.27,194.29,184.32,184.89,360807900
2026-02-27,181.25,182.59,176.38,177.19,311636500
2026-03-02,175.01,183.46,174.64,182.48,209095300
2026-03-03,178.49,180.9,176.92,180.05,178099400
2026-03-04,180.44,184.7,180.06,183.04,177731200
2026-03-05,181.17,184.06,177.88,183.34,198779700
2026-03-06,179.84,182.76,176.82,177.82,189021900
2026-03-09,176.83,182.91,175.56,182.65,177213600
2026-03-10,182.4,186.44,182.01,184.77,179118500
2026-03-11,185.91,187.62,184.45,186.03,145280400
2026-03-12,184.05,184.94,181.75,183.14,155762700
2026-03-13,184.92,186.09,179.94,180.25,160988400
2026-03-16,182.97,188.88,181.41,183.22,217307400
2026-03-17,185.06,185.4,181.68,181.93,182497800
2026-03-18,182.48,183.38,180.33,180.4,156683100
2026-03-19,178.01,179.98,175.79,178.56,170968500
2026-03-20,178,178.26,171.72,172.7,241323500
2026-03-23,177.26,178.37,174.76,175.64,182836300
2026-03-24,174.83,176.22,173.98,175.2,147667800
2026-03-25,177.1,181.22,176.85,178.68,162602100
2026-03-26,176.07,176.51,171.14,171.24,186152200
2026-03-27,170,170.97,167.01,167.52,196212700
2026-03-30,168.78,169.45,164.27,165.17,185627000
2026-03-31,166.97,174.62,166.96,174.4,226181300
2026-04-01,176,177.37,174.75,175.75,168132000
2026-04-02,172.18,177.49,171.37,177.39,143143200
2026-04-06,177.16,177.79,175.76,177.64,107564300
2026-04-07,175.73,178.23,173.66,178.1,132534900
2026-04-08,184.5,185.26,180.3,182.08,147732700
2026-04-09,181.84,184.08,180.62,183.91,116428500
2026-04-10,184.31,190,184.3,188.63,160459500
2026-04-13,186.03,189.66,185.74,189.31,133648200
2026-04-14,190.84,196.51,190.77,196.51,161307000
2026-04-15,196.54,200.4,195.74,198.87,185338400
2026-04-16,197.43,199.85,195.81,198.35,134012900
2026-04-17,199.9,201.7,199.27,201.68,160324400
2026-04-20,199.98,202.17,197.84,202.06,119381400
2026-04-21,202.13,202.75,199,199.88,107945300
2026-04-22,200.99,202.5,199,202.5,107501000
2026-04-23,202.46,203.83,197.22,199.64,113561800
2026-04-24,199.96,210.95,199.81,208.27,214134400
2026-04-27,209.65,216.83,207.38,216.61,187172400
2026-04-28,209.49,214.73,208.2,213.17,180275400
2026-04-29,212.7,212.72,207.58,209.25,123711800
2026-04-30,209.93,210.3,198.7,199.57,225239200
2026-05-01,201.28,203,197.12,198.45,128647000
2026-05-04,199.5,201.73,194.74,198.48,125368100
2026-05-05,199.3,200.24,196.03,196.5,113406600
2026-05-06,199.89,208.27,198.61,207.83,188362800
2026-05-07,208.34,214.2,206.5,211.5,168307900
2026-05-08,213.03,217.8,212.89,215.2,136421400
2026-05-11,214.04,222.3,213.89,219.44,160685800
2026-05-12,218.55,223.75,214.92,220.78,159176600
2026-05-13,224.93,227.84,221.57,225.83,150405400
2026-05-14,229.85,236.54,229.3,235.74,180782900
2026-05-15,229.76,231.5,224.24,225.32,180977600
2026-05-18,229.87,230,218.37,222.32,146280900
2026-05-19,219.62,224.48,217.91,220.61,140948200
2026-05-20,223.1,226.13,220.495,223.47,171145403
