date,open,high,low,close,volume
2001-01-02,10.031,10.109,9.828,9.844,709600
2001-01-03,10,10.75,10,10.75,1550800
2001-01-04,10.75,10.781,9.688,9.953,1487200
2001-01-05,9.906,9.922,9.562,9.672,982000
2001-01-08,9.672,9.875,9.625,9.812,595600
2001-01-09,9.797,9.938,9.719,9.938,516000
2001-01-10,10,10.188,9.969,10.094,483600
2001-01-11,10.141,10.281,10.094,10.156,936400
2001-01-12,10.219,10.406,10.172,10.172,581200
2001-01-16,10.219,10.422,10.078,10.078,844000
2001-01-17,10.188,10.344,10.031,10.031,413600
2001-01-18,10.094,10.375,10.094,10.375,374400
2001-01-19,10.375,10.562,10.281,10.531,516000
2001-01-22,10.5,10.734,10.5,10.656,493600
2001-01-23,10.625,10.844,10.625,10.719,1090000
2001-01-24,10.781,10.812,10.641,10.672,837200
2001-01-25,10.594,10.812,10.578,10.625,755600
2001-01-26,10.641,10.641,10.203,10.312,509200
2001-01-29,10.312,10.316,10.078,10.266,613200
2001-01-30,10.375,10.469,10.336,10.426,398800
2001-01-31,10.375,10.5,10.25,10.5,647200
2001-02-01,10.461,10.684,10.434,10.676,534000
2001-02-02,10.676,11.062,10.676,10.926,1498000
2001-02-05,11.051,11.348,10.75,10.852,1123200
2001-02-06,10.5,10.5,9.879,10.375,1567200
2001-02-07,10.438,10.699,10.379,10.637,304400
2001-02-08,10.688,10.75,10.625,10.727,425200
2001-02-09,10.789,10.828,10.664,10.824,1018800
2001-02-12,10.926,11.336,10.922,11.246,446000
2001-02-13,11.246,11.754,11.246,11.727,873200
2001-02-14,11.523,11.523,11.324,11.488,1115600
2001-02-15,11.273,11.395,11.25,11.27,313600
2001-02-16,11.25,11.25,10.938,11.051,249200
2001-02-20,11.164,11.371,11.164,11.262,423600
2001-02-21,11.199,11.512,11.199,11.426,407200
2001-02-22,11.449,11.812,11.449,11.75,517200
2001-02-23,11.727,11.727,11.148,11.461,742000
2001-02-26,11.453,11.562,11.414,11.484,482000
2001-02-27,11.461,11.574,11.438,11.477,797600
2001-02-28,11.5,11.562,11.227,11.238,833600
2001-03-01,11.25,11.301,11.137,11.273,482000
2001-03-02,11.113,11.523,11.102,11.352,419200
2001-03-05,11.352,11.352,11.191,11.234,207600
2001-03-06,11.348,11.352,11.082,11.082,230800
2001-03-07,11.086,11.137,11.039,11.074,738000
2001-03-08,11.023,11.027,10.379,10.477,1050400
2001-03-09,10.426,10.551,9.887,9.926,1409600
2001-03-12,9.926,9.926,9.668,9.746,742800
2001-03-13,9.508,9.789,9.5,9.711,471600
2001-03-14,9.699,9.809,9.062,9.164,1024800
2001-03-15,9.488,9.5,9.254,9.426,839600
2001-03-16,9.5,9.664,9.5,9.621,1290000
2001-03-19,9.613,9.863,9.531,9.812,679600
2001-03-20,10,10.031,9.762,9.762,657200
2001-03-21,9.75,9.75,9.273,9.512,989600
2001-03-22,9.438,9.441,9.074,9.25,475600
2001-03-23,9.301,9.5,9.301,9.492,418400
2001-03-26,9.562,9.637,9.164,9.461,902400
2001-03-27,9.492,9.531,9.273,9.5,603200
2001-03-28,9.5,9.602,9.375,9.5,1094800
2001-03-29,9.574,10.191,9.562,10.039,793200
2001-03-30,10.039,10.16,9.875,10.102,643200
2001-04-02,10.102,10.102,9.762,9.836,615200
2001-04-03,9.852,9.852,9.453,9.477,1280800
2001-04-04,9.5,9.602,9.461,9.555,743600
2001-04-05,9.875,9.996,9.805,9.898,1280800
2001-04-06,9.871,9.871,9.551,9.574,488800
2001-04-09,9.725,9.905,9.7,9.875,849600
2001-04-10,10,10.403,10,10.243,561200
2001-04-11,10.425,10.625,10.175,10.305,832800
2001-04-12,10.337,11,10.337,10.975,641200
2001-04-16,10.85,10.85,10.5,10.642,330800
2001-04-17,10.35,10.7,10.35,10.688,838000
2001-04-18,10.75,11.163,10.688,10.75,650000
2001-04-19,10.75,10.875,10.725,10.875,767200
2001-04-20,10.812,10.812,10.375,10.625,383200
2001-04-23,10.562,10.637,10.175,10.225,503600
2001-04-24,10.288,10.345,10.125,10.225,346800
2001-04-25,10.2,10.875,10.2,10.795,528800
2001-04-26,10.788,10.945,10.75,10.78,366800
2001-04-27,10.938,11.125,10.938,11.038,335600
2001-04-30,11.2,11.425,11.2,11.2,492800
2001-05-01,11.2,11.37,11.15,11.35,247600
2001-05-02,12.975,14,11.828,13.7,7337600
2001-05-03,13.275,13.525,12.75,12.775,2482000
2001-05-04,12.525,12.825,12.462,12.73,1471200
2001-05-07,12.688,12.7,12.432,12.55,1074800
2001-05-08,12.5,13.085,12.453,13.083,2200800
2001-05-09,13.225,14.74,13.188,14.075,3261200
2001-05-10,14,14.387,13.75,13.925,1836400
2001-05-11,13.812,13.812,13.3,13.395,660800
2001-05-14,13.42,13.725,13.413,13.562,835200
2001-05-15,13.562,13.743,13.425,13.443,1120000
2001-05-16,13.5,14,13.475,13.725,1512800
2001-05-17,13.7,14.305,13.7,14.125,992000
2001-05-18,13.837,14.113,13.837,13.988,814800
2001-05-21,13.988,14.538,13.9,14.42,1422000
2001-05-22,14.2,14.245,14.05,14.05,847200
2001-05-23,13.837,13.837,13.377,13.413,1160800
2001-05-24,13.288,13.398,13.153,13.203,483600
2001-05-25,13.225,13.385,13.113,13.2,505600
2001-05-29,13.2,13.625,13.2,13.538,1120400
2001-05-30,13.675,14.55,13.675,14.15,1663200
2001-05-31,14,14.062,13.65,13.65,640800
2001-06-01,13.653,13.725,13.488,13.595,970000
2001-06-04,13.625,14.062,13.625,13.91,486400
2001-06-05,13.91,13.91,13.438,13.625,1427200
2001-06-06,13.5,13.5,13.25,13.312,820800
2001-06-07,13.25,13.863,13.188,13.57,986000
2001-06-08,13.57,13.57,13.438,13.45,245600
