date,open,high,low,close,volume
2010-01-04,47.23,47.63,46.97,47.11,1456800
2010-01-05,46.98,47.24,46.63,46.82,1565600
2010-01-06,47.33,48.01,47.22,47.91,1753300
2010-01-07,48.64,49.34,48.54,49.17,3681800
2010-01-08,49.01,49.75,48.96,49.54,1794900
2010-01-11,50.4,50.75,50.08,50.64,2293400
2010-01-12,49.58,49.94,49.36,49.55,1596500
2010-01-13,50.6,50.65,50.1,50.39,1973800
2010-01-14,51.24,51.25,49.79,50.16,8310000
2010-01-15,49.67,49.69,48.73,48.95,2778900
2010-01-19,48.58,49.26,48.58,49.23,1505400
2010-01-20,48.57,48.63,47.63,48.27,2978000
2010-01-21,47.92,48.02,46.41,46.57,4818800
2010-01-22,46.59,46.9,45.86,45.9,2607100
2010-01-25,46.75,46.83,46.08,46.21,2458000
2010-01-26,45.73,46.52,45.64,46.05,3033400
2010-01-27,45.99,46.25,45.53,46.21,2968100
2010-01-28,46,46.02,44.86,45.14,1757900
2010-01-29,45.81,46.49,45.15,45.32,2484000
2010-02-01,46.65,46.9,46.18,46.48,2665000
2010-02-02,47.22,47.37,46.87,47.36,2052700
2010-02-03,47.29,47.63,47.12,47.46,1824800
2010-02-04,46.99,47.07,46.22,46.25,2574100
2010-02-05,45.82,46.05,44.97,45.96,1893200
2010-02-08,44.64,44.85,43.11,43.29,10072200
2010-02-09,43.67,44.09,43.27,43.9,7411400
2010-02-10,43.83,43.94,43.23,43.32,3780600
2010-02-11,42.53,42.94,42,42.81,4881000
2010-02-12,42.25,43.05,42.1,42.99,3746800
2010-02-16,43.56,44.37,43.37,44.3,2492400
2010-02-17,44.57,44.6,43.87,44.13,2362700
2010-02-18,44.01,44.26,43.81,44.24,1656900
2010-02-19,44.25,44.67,43.98,44.5,1988600
2010-02-22,44.51,44.54,43.96,44,1762500
2010-02-23,43.92,44.07,43.41,43.72,1688000
2010-02-24,44.35,44.7,44.08,44.33,1667000
2010-02-25,43.55,44.28,43.41,44.21,2090400
2010-02-26,44.21,44.79,43.86,44.58,1177000
2010-03-01,44.95,45.27,44.77,45.27,1546900
2010-03-02,45.77,46,45.45,45.77,2474100
2010-03-03,45.99,46.18,45.61,45.72,1832600
2010-03-04,46.03,46.15,45.59,46.06,1422100
2010-03-05,46.08,46.42,45.91,46.13,2530300
2010-03-08,46.52,46.53,46.15,46.25,1198200
2010-03-09,45.9,46.2,45.77,45.92,2630100
2010-03-10,46.03,46.55,46.02,46.48,1591400
2010-03-11,45.99,46.13,45.61,45.95,2349500
2010-03-12,46.13,46.25,45.84,46.05,1113200
2010-03-15,45.98,46.12,45.5,45.97,1609800
2010-03-16,45.8,46.52,45.6,46.41,2337500
2010-03-17,46.99,47.8,46.68,47.39,3270200
2010-03-18,47.45,47.65,46.91,47.37,1266500
2010-03-19,46.94,47.02,46.19,46.94,2710000
2010-03-22,46.47,47.31,46.46,46.98,2728200
2010-03-23,47.42,48.07,47.3,47.97,2375200
2010-03-24,46.75,47.35,46.65,46.97,2908500
2010-03-25,47.7,47.84,46.97,46.99,3076100
2010-03-26,47.29,47.56,46.74,47.08,2217400
2010-03-29,47.67,48.16,47.66,48,1879000
2010-03-30,48.07,48.21,47.49,47.84,1623100
2010-03-31,48.15,48.48,48.02,48.17,1505900
2010-04-01,49.01,49.21,48.38,48.64,1912600
2010-04-05,48.66,49,48.59,48.97,780800
2010-04-06,48.08,48.46,47.98,48.44,1241200
2010-04-07,47.94,48.23,47.84,48.05,2054900
2010-04-08,47.66,48.54,47.52,48.41,1926900
2010-04-09,48.12,48.93,48.12,48.9,1928400
2010-04-12,49.06,49.22,48.88,49.01,1337000
2010-04-13,49.14,49.16,48.46,48.69,1571800
2010-04-14,49.52,49.88,49.34,49.83,1514200
2010-04-15,49.34,49.82,49.24,49.65,1991900
2010-04-16,48.93,49.22,48.49,48.62,2726800
2010-04-19,48.12,48.56,47.95,48.5,2284400
2010-04-20,48.83,49.06,48.6,48.96,2429900
2010-04-21,48.66,48.94,48.5,48.9,1477700
2010-04-22,48.22,49.05,47.97,48.97,1572100
2010-04-23,49,49.99,48.94,49.92,2043700
2010-04-26,49.55,50.1,49.51,49.93,1227100
2010-04-27,49.26,49.73,48.45,48.55,2190100
2010-04-28,47.79,47.83,46.64,47.01,3347000
2010-04-29,47.18,47.72,47.18,47.37,1894700
2010-04-30,48.37,48.44,47.35,47.45,2573900
2010-05-03,47.68,47.94,47.38,47.41,1550000
2010-05-04,47.11,47.11,45.93,46.09,3019500
2010-05-05,45.53,46.05,45.34,45.72,2267300
2010-05-06,45.15,45.59,42.45,44.38,2789300
2010-05-07,44.77,45.03,43.24,43.78,3802800
2010-05-10,45.4,45.78,45.11,45.46,2398800
2010-05-11,44.98,45.88,44.93,45.37,1499400
2010-05-12,45.76,46.07,44.54,44.9,6142200
2010-05-13,44.25,44.93,44.07,44.54,3027100
2010-05-14,44.61,44.61,43.21,43.67,2592600
2010-05-17,43.5,43.95,42.78,43.77,2636100
