date,open,high,low,close,volume
2013-01-02,2.333,2.363,2.314,2.357,17922000
2013-01-03,2.345,2.363,2.317,2.318,11130000
2013-01-04,2.32,2.32,2.261,2.293,10110000
2013-01-07,2.32,2.32,2.26,2.289,6630000
2013-01-08,2.3,2.3,2.207,2.245,19260000
2013-01-09,2.267,2.279,2.227,2.243,10470000
2013-01-10,2.258,2.266,2.225,2.235,13837500
2013-01-11,2.269,2.269,2.141,2.194,23448000
2013-01-14,2.205,2.225,2.19,2.217,13876500
2013-01-15,2.207,2.283,2.205,2.26,24363000
2013-01-16,2.257,2.282,2.249,2.273,20673000
2013-01-17,2.277,2.323,2.261,2.292,21550500
2013-01-18,2.316,2.319,2.255,2.301,53326500
2013-01-22,2.304,2.37,2.284,2.346,28803000
2013-01-23,2.335,2.416,2.331,2.4,23464500
2013-01-24,2.4,2.515,2.389,2.466,29556000
2013-01-25,2.467,2.503,2.453,2.465,19317000
2013-01-28,2.457,2.581,2.457,2.535,29790000
2013-01-29,2.54,2.563,2.475,2.53,21399000
2013-01-30,2.523,2.533,2.495,2.501,14521500
2013-01-31,2.525,2.525,2.462,2.501,13521000
2013-02-01,2.545,2.567,2.508,2.553,16509000
2013-02-04,2.56,2.561,2.506,2.516,16920000
2013-02-05,2.533,2.577,2.512,2.542,19653000
2013-02-06,2.545,2.626,2.527,2.611,28398000
2013-02-07,2.613,2.645,2.597,2.632,17949000
2013-02-08,2.63,2.667,2.609,2.616,17097000
2013-02-11,2.532,2.61,2.5,2.561,48994500
2013-02-12,2.563,2.591,2.486,2.526,33919500
2013-02-13,2.553,2.6,2.537,2.563,14502000
2013-02-14,2.576,2.583,2.547,2.551,14860500
2013-02-15,2.567,2.567,2.463,2.469,30264000
2013-02-19,2.491,2.619,2.487,2.619,40521000
2013-02-20,2.62,2.643,2.564,2.569,46830000
2013-02-21,2.433,2.493,2.303,2.344,135567000
2013-02-22,2.381,2.426,2.373,2.407,38209500
2013-02-25,2.41,2.45,2.289,2.292,43341000
2013-02-26,2.297,2.331,2.253,2.295,41443500
2013-02-27,2.294,2.361,2.293,2.34,29388000
2013-02-28,2.393,2.407,2.291,2.322,29473500
2013-03-01,2.333,2.339,2.283,2.31,23199000
2013-03-04,2.318,2.389,2.313,2.372,26365500
2013-03-05,2.4,2.461,2.386,2.443,31305000
2013-03-06,2.467,2.525,2.465,2.513,17250000
2013-03-07,2.515,2.577,2.459,2.549,17374500
2013-03-08,2.537,2.629,2.491,2.565,13681500
2013-03-11,2.591,2.629,2.577,2.607,23692500
2013-03-12,2.593,2.625,2.59,2.608,19126500
2013-03-13,2.6,2.633,2.587,2.599,12330000
2013-03-14,2.593,2.594,2.451,2.457,30315000
2013-03-15,2.443,2.443,2.347,2.353,49194000
2013-03-18,2.353,2.404,2.328,2.343,19741500
2013-03-19,2.35,2.373,2.329,2.339,16477500
2013-03-20,2.351,2.405,2.344,2.397,21345000
