date,open,high,low,close,volume
2026-01-02,457.8,458.34,435.3,438.07,85535400
2026-01-05,447.99,457.55,444.57,451.67,67940800
2026-01-06,446.38,448.25,428.78,432.96,89093800
2026-01-07,435.9,438.37,431.29,431.41,59828800
2026-01-08,427.89,436.89,424.37,435.8,57041100
2026-01-09,435.95,449.05,430.39,445.01,67331500
2026-01-12,441.23,454.3,438,448.96,61649600
2026-01-13,450.2,451.81,443.95,447.2,53719200
2026-01-14,442.81,443.91,434.22,439.2,57259500
2026-01-15,441.13,445.36,437.65,438.57,49465800
2026-01-16,439.5,447.25,435.26,437.5,60220600
2026-01-20,429.36,430.73,417.44,419.25,63187300
2026-01-21,421.66,438.2,419.62,431.44,68124000
2026-01-22,435.16,449.5,432.63,449.36,71546700
2026-01-23,447.43,452.43,444.04,449.06,56771400
2026-01-26,445,445.04,434.28,435.2,49397400
2026-01-27,437.41,437.52,430.69,430.9,37733100
2026-01-28,431.91,438.26,430.1,431.46,54857400
2026-01-29,437.8,440.23,414.62,416.56,81686100
2026-01-30,425.35,439.88,422.7,430.41,82626100
2026-02-02,421.29,427.15,414.5,421.81,58739500
2026-02-03,424.27,428.56,413.69,421.96,56886500
2026-02-04,420.46,423.9,399.18,406.01,74606900
2026-02-05,397.02,402.1,387.53,397.21,72819800
2026-02-06,400.87,414.55,397.75,411.11,62677100
2026-02-09,409.91,421.25,407.29,417.32,54484300
2026-02-10,418.08,427.25,417,425.21,64450200
2026-02-11,427.96,436.35,420.03,428.27,57362000
2026-02-12,430.3,436.23,414,417.07,61933400
2026-02-13,414.31,424.06,410.88,417.44,51434100
2026-02-17,412.36,413.72,400.51,410.63,59678800
2026-02-18,411.11,416.9,409.58,411.32,45921400
2026-02-19,407.25,415.25,404.11,411.71,51019600
2026-02-20,408.3,414.7,405.5,411.82,57912200
2026-02-23,407.29,407.7,394.04,399.83,69680000
2026-02-24,399.5,410.82,397.64,409.38,58579500
2026-02-25,412.15,420.34,412.15,417.4,54809700
2026-02-26,414.42,416.81,403.66,408.58,53602500
2026-02-27,402.94,407.12,398.11,402.51,56890100
2026-03-02,390.6,404.54,388.25,403.32,55088300
2026-03-03,395.09,396.34,385.39,392.43,62617300
2026-03-04,397.85,408.33,394.58,405.94,68305500
2026-03-05,401.57,408.62,399.42,405.55,51925900
2026-03-06,398.09,402.35,394.21,396.73,64054600
2026-03-09,390.05,401.59,381.4,398.68,67018900
2026-03-10,402.22,406.59,398.19,399.24,59258700
2026-03-11,402.28,416.38,402.15,407.82,62559900
2026-03-12,405.18,406.5,394.65,395.01,60973800
2026-03-13,399.17,400.2,389.95,391.2,58504100
2026-03-16,396.22,403.73,394.42,395.56,58068300
2026-03-17,395.69,400.12,393,399.27,46890500
2026-03-18,399,403.07,392.31,392.78,50853100
2026-03-19,387.27,387.27,378.73,380.3,67078300
2026-03-20,379.85,379.89,364.46,367.96,78628600
2026-03-23,373.09,385.33,372.73,380.85,74606000
2026-03-24,376.56,387.48,376.31,383.03,60004900
2026-03-25,389.99,396.23,385.01,385.95,55157300
2026-03-26,381.6,384.44,371.87,372.11,55522900
2026-03-27,369.69,369.86,359.47,361.83,62065700
2026-03-30,365.86,367.29,352.14,355.28,67954400
2026-03-31,361.51,373.33,361,371.75,75534900
2026-04-01,378.63,383.14,374.08,381.26,58683800
2026-04-02,364.2,370.28,359.03,360.59,83031200
2026-04-06,362.59,367.72,346.64,352.82,77697600
2026-04-07,346.44,348.02,337.24,346.65,74515400
2026-04-08,363.79,364.5,339.67,343.25,78838600
2026-04-09,343.15,348.88,337.25,345.62,62164000
2026-04-10,346.29,350.36,342.74,348.95,51336000
2026-04-13,350.07,356.35,348.57,352.42,53617500
2026-04-14,357.67,367.63,354.77,364.2,59979600
2026-04-15,366.83,394.65,362.5,391.95,113810400
2026-04-16,393.81,394.06,381.8,388.9,63515100
2026-04-17,395.92,409.28,391.65,400.62,90640000
2026-04-20,402.58,406.8,388.33,392.5,64603900
2026-04-21,393,393.95,385.22,386.42,50530600
2026-04-22,387.57,393.01,385.3,387.51,62362800
2026-04-23,375.28,386,368.39,373.72,93969500
2026-04-24,373.5,382.76,370.73,376.3,62893300
2026-04-27,372.09,380.78,364.02,378.67,66735800
2026-04-28,374.68,382.29,372.54,376.02,50864400
2026-04-29,375.4,376.4,370.04,372.8,45384800
2026-04-30,372.75,384.75,368.17,381.63,51076000
2026-05-01,382.49,397.82,378.8,390.82,65338300
2026-05-04,390.23,394.64,384.8,392.51,48765100
2026-05-05,395.19,402.12,389,389.37,47780600
2026-05-06,386.25,401.68,384.02,398.73,53465400
2026-05-07,407.48,415.83,402.12,411.79,64294200
2026-05-08,416.48,431.2,416.39,428.35,65050000
2026-05-11,422.16,449.16,416.8,445,78376100
2026-05-12,441.41,447.8,422.26,433.45,60569300
2026-05-13,436.67,453.4,430.21,445.27,68283200
2026-05-14,446.49,451.98,441.16,443.3,46070400
2026-05-15,433.98,434.66,422,422.24,52688700
2026-05-18,419.27,421.13,405.33,409.99,52474200
2026-05-19,402.985,405.63,393.63,404.11,44824479
