date,open,high,low,close,volume
2007-01-03,11.055,11.124,10.846,10.915,12438784
2007-01-04,10.925,10.985,10.736,10.915,17678653
2007-01-05,10.846,10.846,10.527,10.637,12691240
2007-01-08,10.637,10.766,10.637,10.697,5477350
2007-01-09,10.796,10.796,10.527,10.567,7396096
2007-01-10,10.438,10.647,10.368,10.627,11091582
2007-01-11,10.687,10.896,10.677,10.856,17608203
2007-01-12,11.144,11.373,11.075,11.194,33519865
2007-01-16,11.294,11.343,11.194,11.254,14243463
2007-01-17,11.294,11.433,11.164,11.433,19711668
2007-01-18,11.423,11.443,11.154,11.194,20908723
2007-01-19,11.194,11.294,11.124,11.234,12316677
2007-01-22,11.194,11.194,10.985,11.005,11010579
2007-01-23,11.015,11.274,10.905,11.194,17382380
2007-01-24,11.343,11.423,11.184,11.423,12059698
2007-01-25,11.124,11.184,10.697,10.706,47390574
2007-01-26,10.736,10.896,10.667,10.876,13772620
2007-01-29,10.876,10.896,10.706,10.716,7460115
2007-01-30,10.716,10.866,10.716,10.856,6525867
2007-01-31,10.806,10.915,10.687,10.856,9210423
2007-02-01,10.856,10.985,10.746,10.955,8544711
2007-02-02,11.035,11.055,10.846,10.886,7043643
2007-02-05,10.786,10.876,10.786,10.796,8542199
2007-02-06,10.945,10.985,10.846,10.915,9055954
2007-02-07,10.915,11.244,10.896,11.104,13428508
2007-02-08,11.114,11.114,11.005,11.065,7503732
2007-02-09,11.065,11.104,10.876,10.896,9731515
2007-02-12,10.786,10.866,10.597,10.627,11556394
2007-02-13,10.557,10.687,10.458,10.677,13869804
2007-02-14,10.786,11.154,10.776,11.095,12912843
2007-02-15,11.104,11.184,11.104,11.114,11425242
2007-02-16,11.184,11.184,11.045,11.174,4949826
2007-02-20,11.184,11.383,11.124,11.294,8291049
2007-02-21,11.294,11.433,11.204,11.423,7740409
2007-02-22,11.423,11.542,11.373,11.493,10243161
2007-02-23,11.582,11.582,11.294,11.333,6074823
2007-02-26,11.343,11.343,11.234,11.333,8577776
2007-02-27,11.154,11.164,10.876,10.886,16183816
2007-02-28,10.995,11.184,10.945,11.045,9975529
2007-03-01,10.756,10.945,10.587,10.876,15206554
2007-03-02,10.876,10.896,10.587,10.587,9541369
2007-03-05,9.851,10.408,9.751,10.06,19155400
2007-03-06,10.348,10.597,10.338,10.557,16901789
2007-03-07,10.557,10.607,10.398,10.448,12763902
2007-03-08,10.726,10.776,10.637,10.726,7744027
2007-03-09,10.637,10.706,10.388,10.697,22430796
2007-03-12,10.746,11.104,10.697,11.065,15808047
2007-03-13,10.985,11.184,10.886,10.905,18061458
2007-03-14,11.005,11.095,10.736,11.005,9948997
2007-03-15,11.005,11.144,10.955,11.095,11060427
2007-03-16,11.095,11.124,10.955,10.965,8237683
2007-03-19,10.975,11.154,10.955,10.985,9695034
2007-03-20,11.035,11.274,11.015,11.254,9877341
2007-03-21,11.274,11.562,11.184,11.493,9281376
2007-03-22,11.562,11.562,11.214,11.284,14519034
2007-03-23,11.154,11.413,11.154,11.313,7086657
2007-03-26,11.343,11.383,11.174,11.373,9676743
2007-03-27,11.323,11.323,11.065,11.065,6576820
2007-03-28,11.065,11.065,10.746,10.766,13758952
2007-03-29,10.886,11.015,10.597,10.746,22769179
2007-03-30,10.706,10.776,10.637,10.697,9627900
2007-04-02,10.756,10.846,10.627,10.726,6349188
2007-04-03,10.796,10.846,10.687,10.846,16976259
2007-04-04,10.846,10.925,10.677,10.726,12961585
2007-04-05,10.836,10.995,10.756,10.915,12080301
2007-04-09,11.045,11.045,10.786,10.816,8725913
2007-04-10,10.736,10.876,10.677,10.756,11179921
2007-04-11,10.846,10.856,10.677,10.716,7455894
2007-04-12,10.736,10.806,10.647,10.746,8070753
2007-04-13,10.657,10.766,10.567,10.647,8323108
2007-04-16,10.766,10.786,10.617,10.716,13586394
2007-04-17,10.746,10.746,10.547,10.607,10811790
2007-04-18,10.617,10.726,10.597,10.617,10639633
2007-04-19,10.468,10.537,10.418,10.498,14985253
2007-04-20,10.806,10.816,10.378,10.468,16506421
2007-04-23,10.597,10.607,10.488,10.527,10061055
2007-04-24,10.697,10.796,10.418,10.736,27024651
2007-04-25,10.756,10.925,10.736,10.896,27902016
2007-04-26,10.796,11.005,10.796,10.975,18366676
2007-04-27,10.836,10.846,10.587,10.637,16408132
2007-04-30,10.607,10.617,10.488,10.488,13280874
2007-05-01,10.498,10.667,10.458,10.637,8039598
2007-05-02,10.627,10.647,10.517,10.567,11618503
2007-05-03,10.537,10.706,10.537,10.657,9798348
2007-05-04,10.846,10.856,10.647,10.647,9569610
2007-05-07,10.647,10.706,10.597,10.647,5307907
2007-05-08,10.587,10.597,10.418,10.448,7262230
2007-05-09,10.368,10.478,10.338,10.478,12284517
2007-05-10,10.498,10.498,10.328,10.368,14074924
2007-05-11,10.279,10.408,10.279,10.358,10183162
2007-05-14,10.299,10.378,10.149,10.179,11532174
2007-05-15,10.259,10.338,10.129,10.229,8597574
2007-05-16,10.239,10.478,10.229,10.448,12650538
2007-05-17,10.398,10.776,10.398,10.627,26391802
2007-05-18,10.647,10.706,10.468,10.478,50246784
2007-05-21,10.537,10.627,10.428,10.458,24418384
2007-05-22,10.507,10.677,10.418,10.607,19368561
2007-05-23,10.657,10.736,10.458,10.478,15541018
2007-05-24,10.537,10.597,10.279,10.368,30232209
2007-05-25,10.348,10.448,10.269,10.418,16438785
2007-05-29,10.537,10.637,10.498,10.577,16839177
2007-05-30,10.587,10.657,10.448,10.607,13727998
2007-05-31,10.706,10.896,10.617,10.856,18564159
2007-06-01,10.925,11.065,10.806,11.025,17743878
2007-06-04,10.945,11.045,10.905,10.935,12507627
2007-06-05,10.965,11.015,10.667,10.776,31429365
2007-06-06,10.786,10.846,10.627,10.726,9908596
2007-06-07,10.786,10.836,10.647,10.657,20211253
2007-06-08,10.348,10.537,10.269,10.517,17631921
