date,open,high,low,close,volume
2026-01-02,311.98,321.59,311.7,319.61,18526900
2026-01-05,330.4,331.25,321.5,322.25,17446300
2026-01-06,330.22,333.08,324.59,327.43,15599600
2026-01-07,324.67,326.3,318.54,318.68,11744800
2026-01-08,324.39,324.5,316.14,318.01,10850800
2026-01-09,319.83,324.77,318.25,323.63,12325100
2026-01-12,322.1,333.55,321.06,331.77,12714800
2026-01-13,332.87,336.42,330.78,331.21,11473600
2026-01-14,329.86,329.86,324.82,327.11,11210800
2026-01-15,342.81,351.33,337.92,341.64,42188500
2026-01-16,346.51,349.85,341.46,342.4,18246100
2026-01-20,340.79,342.15,326.9,327.16,22809900
2026-01-21,333.43,333.64,325.68,326.12,16789800
2026-01-22,333.42,335.05,326.9,327.37,12801000
2026-01-23,332.07,337.15,331.37,334.87,12904400
2026-01-26,332.79,335.1,330.23,332.71,8646400
2026-01-27,336.5,341.25,334.56,338.34,11298100
2026-01-28,343.03,345.5,338.66,342.3,12140100
2026-01-29,339.8,343.74,328.2,339.55,13844800
2026-01-30,335.42,339.9,329.1,330.56,12028100
2026-02-02,330.76,344.2,329.1,341.36,12459100
2026-02-03,345.07,347.05,330.02,335.75,12540000
2026-02-04,335.6,338.8,319.07,325.74,18176000
2026-02-05,322.82,334.57,319.65,330.73,14812000
2026-02-06,337.5,349.72,336.65,348.85,17025500
2026-02-09,348.76,359.6,347.8,355.41,14594900
2026-02-10,364.33,364.76,356.39,361.91,14622100
2026-02-11,370.08,379.58,368.39,374.09,18651300
2026-02-12,379,380,322.1,368.1,16835400
2026-02-13,369.15,371.11,360.77,366.36,10468200
2026-02-17,361.87,366.2,356.24,364.2,10063800
2026-02-18,363.86,369.39,360.71,362.26,7310500
2026-02-19,359.72,362.8,357.44,360.39,6346500
2026-02-20,359.78,372.2,359.1,370.54,9009200
2026-02-23,367.01,373.43,366.46,370.04,9550200
2026-02-24,379.4,389.18,376.05,385.75,13269500
2026-02-25,390.21,390.21,384.83,387.73,10948400
2026-02-26,386.18,386.47,369.7,376.81,14535700
2026-02-27,370.14,376.68,368.62,374.58,9186600
2026-03-02,365.36,373.1,364.65,369.11,12571600
2026-03-03,349.55,355.98,344.14,353.13,18580200
2026-03-04,357.43,361.09,354.55,357.44,12131100
2026-03-05,354.9,359.47,343.8,353.86,16249800
2026-03-06,343.5,348.72,336.69,338.89,13803000
2026-03-09,335.6,349.4,331.92,348.7,19182800
2026-03-10,348.47,353.5,344.31,347.09,12985600
2026-03-11,353.93,357.35,350.36,354.56,10683300
2026-03-12,345.93,346.89,336.38,336.71,17549400
2026-03-13,343.92,344.52,336.22,338.31,17299900
2026-03-16,341.25,344.63,339.82,340.23,11123500
2026-03-17,340.6,346.76,338.4,345.98,11434600
2026-03-18,345.78,347.95,339.34,339.57,12632600
2026-03-19,329.22,339.9,325.19,338.79,15411600
2026-03-20,336.68,337.6,325.9,329.24,17424200
2026-03-23,331.1,343.41,331.1,338.45,15857200
2026-03-24,335.57,344.88,334.02,343.25,9725000
2026-03-25,346,350.45,343.5,347.75,12166900
2026-03-26,339.82,340.91,325.37,326.11,14560200
2026-03-27,324.83,329.56,322.31,326.74,14484500
2026-03-30,327.2,329.6,313.8,316.5,15740000
2026-03-31,322.31,338.41,321.14,337.95,18488000
2026-04-01,343.9,348.68,339.75,341.49,15011600
2026-04-02,326.84,342.07,326.8,339.04,8994600
2026-04-06,339.75,344.2,338.62,341.76,5884800
2026-04-07,339.44,345.53,335.65,345.32,6823500
2026-04-08,370.29,374.3,359.24,365.9,16356900
2026-04-09,363.3,368.17,360.72,365.49,9246000
2026-04-10,375.59,378,369.75,370.6,13168200
2026-04-13,370.26,371.46,366.05,369.57,9596300
2026-04-14,379.04,382.16,373.22,379.89,12859500
2026-04-15,381.41,381.98,372.21,375.1,14955500
2026-04-16,368.86,370.2,360.55,363.35,26405800
2026-04-17,373.2,375.58,365.14,370.5,18419400
2026-04-20,369.22,370.07,364.25,366.24,11638300
2026-04-21,368.08,370.75,365.11,368.08,9808200
2026-04-22,371.78,387.91,370.64,387.44,16317200
2026-04-23,384.25,388.76,375.81,382.66,12224900
2026-04-24,396.14,409.49,393.85,402.46,21603600
2026-04-27,413.75,414.5,400.4,404.98,16561200
2026-04-28,392.12,397.87,384.7,392.34,14715800
2026-04-29,392.91,395.85,388.18,393.83,10313000
2026-04-30,397.81,398.79,385.71,396.06,12788100
2026-05-01,393.44,403.99,392.13,397.67,9926400
2026-05-04,404.52,407.7,395.2,401.61,9978500
2026-05-05,404.6,406.13,392.6,394.41,14579000
2026-05-06,402.4,419.7,400.65,419.5,17736400
2026-05-07,418.09,420,408.11,414.15,13403200
2026-05-08,416.95,417,400.88,411.68,18531200
2026-05-11,406.74,407.73,398.19,404.54,14680000
2026-05-12,397.75,402.24,386.12,397.28,18121800
2026-05-13,398.27,404.68,391.47,399.8,13127800
2026-05-14,403.21,421.97,402.1,417.72,18577100
2026-05-15,406.5,409.87,398.83,404.35,11868600
2026-05-18,406.88,406.88,391.1,395.95,11098026
